,input_text
20,"Title: Cinderella | Release Date: 2015-03-06 | Overview: When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods. | Directors: Kenneth Branagh | Cast: Lily James, Cate Blanchett, Richard Madden, Stellan Skarsgård, Holliday Grainger | Genres: Romance, Fantasy, Family, Drama | Production Companies: Walt Disney Pictures, Genre Films, Beagle Pug Films, Allison Shearmur Productions | Production Countries: GB, US"
21,"Title: Pet Sematary | Release Date: 2019-04-04 | Overview: Dr. Louis Creed and his wife, Rachel, move from Boston to Ludlow, in rural Maine, with their two young children. Hidden in the woods near the new family home, Ellie, their eldest daughter, discovers a mysterious cemetery where the pets of community members are buried. | Directors: Dennis Widmyer, Kevin Kölsch | Cast: Jason Clarke, Amy Seimetz, John Lithgow, Jeté Laurence, Hugo Lavoie | Genres: Horror, Thriller | Production Companies: di Bonaventura Pictures, Paramount Pictures | Production Countries: US"
22,"Title: Tomorrowland | Release Date: 2015-05-19 | Overview: Bound by a shared destiny, a bright, optimistic teen bursting with scientific curiosity and a former boy-genius inventor jaded by disillusionment embark on a danger-filled mission to unearth the secrets of an enigmatic place somewhere in time and space that exists in their collective memory as ""Tomorrowland."" | Directors: Brad Bird | Cast: Britt Robertson, George Clooney, Raffey Cassidy, Hugh Laurie, Tim McGraw | Genres: Adventure, Family, Mystery, Science Fiction | Production Companies: Walt Disney Pictures, A113 | Production Countries: US"
23,"Title: Hotel Transylvania 2 | Release Date: 2015-09-21 | Overview: When the old-old-old-fashioned vampire Vlad arrives at the hotel for an impromptu family get-together, Hotel Transylvania is in for a collision of supernatural old-school and modern day cool. | Directors: Genndy Tartakovsky | Cast: Adam Sandler, Andy Samberg, Selena Gomez, Kevin James, Steve Buscemi | Genres: Animation, Comedy, Family, Fantasy | Production Companies: Columbia Pictures, Sony Pictures Animation, MRC | Production Countries: US"
24,"Title: Fantastic Four | Release Date: 2015-08-05 | Overview: Four young outsiders teleport to a dangerous universe, which alters their physical form in shocking ways. Their lives irrevocably upended, the team must learn to harness their daunting new abilities and work together to save Earth from a former friend turned enemy. | Directors: Josh Trank | Cast: Miles Teller, Kate Mara, Michael B. Jordan, Jamie Bell, Toby Kebbell | Genres: Action, Adventure, Science Fiction | Production Companies: 20th Century Fox, Constantin Film, Marvel Entertainment, Marv, Genre Films, Robert Kulzer Productions, TSG Entertainment | Production Countries: GB, DE, US"
25,"Title: Pirates of the Caribbean: Dead Men Tell No Tales | Release Date: 2017-05-23 | Overview: Thrust into an all-new adventure, a down-on-his-luck Capt. Jack Sparrow feels the winds of ill-fortune blowing even more strongly when deadly ghost sailors led by his old nemesis, the evil Capt. Salazar, escape from the Devil's Triangle. Jack's only hope of survival lies in seeking out the legendary Trident of Poseidon, but to find it, he must forge an uneasy alliance with a brilliant and beautiful astronomer and a headstrong young man in the British navy. | Directors: Espen Sandberg, Joachim Rønning | Cast: Johnny Depp, Javier Bardem, Geoffrey Rush, Brenton Thwaites, Kaya Scodelario | Genres: Adventure, Action, Fantasy | Production Companies: Walt Disney Pictures, Jerry Bruckheimer Films, Infinitum Nihil | Production Countries: US"
26,"Title: How to Train Your Dragon: The Hidden World | Release Date: 2019-01-03 | Overview: As Hiccup fulfills his dream of creating a peaceful dragon utopia, Toothless’ discovery of an untamed, elusive mate draws the Night Fury away. When danger mounts at home and Hiccup’s reign as village chief is tested, both dragon and rider must make impossible decisions to save their kind. | Directors: Dean DeBlois | Cast: Jay Baruchel, America Ferrera, F. Murray Abraham, Cate Blanchett, Gerard Butler | Genres: Animation, Family, Adventure | Production Companies: DreamWorks Animation, Mad Hatter Entertainment | Production Countries: US"
27,"Title: Furious 7 | Release Date: 2015-04-01 | Overview: Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother. | Directors: James Wan | Cast: Vin Diesel, Paul Walker, Dwayne Johnson, Jason Statham, Michelle Rodriguez | Genres: Action, Thriller, Crime | Production Companies: Original Film, One Race, Universal Pictures | Production Countries: US"
28,"Title: Resident Evil: The Final Chapter | Release Date: 2016-12-23 | Overview: Picking up immediately after the events in Resident Evil: Retribution, Alice is the only survivor of what was meant to be humanity's final stand against the undead. Now, she must return to where the nightmare began - The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse. | Directors: Paul W. S. Anderson | Cast: Milla Jovovich, Iain Glen, Ali Larter, Shawn Roberts, Eoin Macken | Genres: Action, Horror, Science Fiction | Production Companies: Screen Gems, Constantin Film, Impact Pictures, Davis Films | Production Countries: CA, FR, DE, US"
29,"Title: Mission: Impossible - Rogue Nation | Release Date: 2015-07-28 | Overview: Ethan and team take on their most impossible mission yet—eradicating 'The Syndicate', an International and highly-skilled rogue organization committed to destroying the IMF. | Directors: Christopher McQuarrie | Cast: Tom Cruise, Jeremy Renner, Simon Pegg, Rebecca Ferguson, Ving Rhames | Genres: Action, Adventure | Production Companies: Paramount Pictures, Bad Robot, Odin, Skydance Media | Production Countries: US"
30,"Title: Child 44 | Release Date: 2015-03-15 | Overview: Set in Stalin-era Soviet Union, a disgraced MGB agent is dispatched to investigate a series of child murders -- a case that begins to connect with the very top of party leadership. | Directors: Daniel Espinosa | Cast: Tom Hardy, Gary Oldman, Noomi Rapace, Fares Fares, Joel Kinnaman | Genres: Crime, Thriller | Production Companies: Summit Entertainment, Worldview Entertainment, Lionsgate, Scott Free Productions | Production Countries: US"
31,"Title: Star Trek Beyond | Release Date: 2016-07-07 | Overview: The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test. | Directors: Justin Lin | Cast: Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldaña, Simon Pegg | Genres: Action, Adventure, Science Fiction | Production Companies: Skydance Media, Paramount Pictures, Bad Robot, Perfect Storm Entertainment, Sneaky Shark | Production Countries: US"
32,"Title: No Escape | Release Date: 2015-08-26 | Overview: In their new overseas home, an American family soon finds themselves caught in the middle of a coup, and they frantically look for a safe escape in an environment where foreigners are being immediately executed. | Directors: John Erick Dowdle | Cast: Owen Wilson, Lake Bell, Pierce Brosnan, Sterling Jerins, Claire Geare | Genres: Thriller, Action | Production Companies: Living Films, Bold Films, Brothers Dowdle Productions | Production Countries: TH, US"
33,"Title: Collide | Release Date: 2016-06-10 | Overview: An American backpacker gets involved with a ring of drug smugglers as their driver, and winds up on the run from his employers across Cologne’s autobahns. | Directors: Eran Creevy | Cast: Nicholas Hoult, Felicity Jones, Anthony Hopkins, Ben Kingsley, Marwan Kenzari | Genres: Thriller, Action | Production Companies: Silver Pictures, 42, Automatik Entertainment, DMG Entertainment, hands-on producers | Production Countries: DE, GB, US"
34,"Title: Crimson Peak | Release Date: 2015-10-13 | Overview: In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds… and remembers. | Directors: Guillermo del Toro | Cast: Mia Wasikowska, Jessica Chastain, Tom Hiddleston, Charlie Hunnam, Jim Beaver | Genres: Horror, Romance, Mystery, Thriller, Drama | Production Companies: Double Dare You, Legendary Pictures, Universal Pictures | Production Countries: US"
35,"Title: In the Heart of the Sea | Release Date: 2015-12-03 | Overview: In the winter of 1820, the New England whaling ship Essex is assaulted by something no one could believe—a whale of mammoth size and will, and an almost human sense of vengeance. | Directors: Ron Howard | Cast: Chris Hemsworth, Benjamin Walker, Cillian Murphy, Brendan Gleeson, Ben Whishaw | Genres: Thriller, Drama, Adventure, Action, History | Production Companies: Imagine Entertainment, Spring Creek Pictures, Roth Films, Kjam Media, Cott Productions, Surf Film, Enelmar Productions, A.I.E., Warner Bros. Pictures, Village Roadshow Pictures | Production Countries: ES, US"
36,"Title: Mortdecai | Release Date: 2015-01-21 | Overview: An art dealer, Charles Mortdecai, searches for a stolen painting rumored to contain a secret code that gains access to hidden Nazi gold. | Directors: David Koepp | Cast: Johnny Depp, Gwyneth Paltrow, Ewan McGregor, Paul Bettany, Jonny Pasvolsky | Genres: Comedy, Adventure | Production Companies: Lionsgate, Mad Chance, Infinitum Nihil, OddLot Entertainment, Huayi Brothers Pictures | Production Countries: US"
37,"Title: Minions | Release Date: 2015-06-17 | Overview: Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world. | Directors: Kyle Balda, Pierre Coffin | Cast: Sandra Bullock, Jon Hamm, Michael Keaton, Allison Janney, Steve Coogan | Genres: Family, Animation, Adventure, Comedy | Production Companies: Illumination, Universal Pictures | Production Countries: US"
38,"Title: Ted 2 | Release Date: 2015-06-25 | Overview: Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law. | Directors: Seth MacFarlane | Cast: Mark Wahlberg, Seth MacFarlane, Amanda Seyfried, Jessica Barth, Giovanni Ribisi | Genres: Comedy, Fantasy | Production Companies: Smart Entertainment, Universal Pictures, Fuzzy Door Productions, Bluegrass Films, MRC | Production Countries: US"
39,"Title: Fifty Shades of Grey | Release Date: 2015-02-11 | Overview: When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper, little does she realize the path her life will take. Christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to Ana, and she to him. Though sexually inexperienced, Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure. | Directors: Sam Taylor-Johnson | Cast: Dakota Johnson, Jamie Dornan, Jennifer Ehle, Eloise Mumford, Victor Rasuk | Genres: Drama, Romance, Thriller | Production Companies: Universal Pictures, Focus Features, Michael De Luca Productions, Trigger Street Productions | Production Countries: US"
40,"Title: The Peanuts Movie | Release Date: 2015-11-05 | Overview: Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their arch-nemesis, while his best pal Charlie Brown begins his own epic quest. | Directors: Steve Martino | Cast: Noah Schnapp, Bill Melendez, Marleik 'Mar Mar' Walker, Alex Garfin, Hadley Belle Miller | Genres: Comedy, Animation, Family | Production Companies: Blue Sky Studios, 20th Century Fox Animation, 20th Century Fox, Feigco Entertainment | Production Countries: US"
41,"Title: Home | Release Date: 2015-03-18 | Overview: When Earth is taken over by the overly-confident Boov, an alien race in search of a new place to call home, all humans are promptly relocated, while all Boov get busy reorganizing the planet. But when one resourceful girl, Tip, manages to avoid capture, she finds herself the accidental accomplice of a banished Boov named Oh. The two fugitives realize there’s a lot more at stake than intergalactic relations as they embark on the road trip of a lifetime. | Directors: Tim Johnson | Cast: Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez, Matt Jones | Genres: Fantasy, Comedy, Animation, Science Fiction, Family | Production Companies: DreamWorks Animation | Production Countries: US"
42,"Title: The SpongeBob Movie: Sponge Out of Water | Release Date: 2015-01-28 | Overview: Burger Beard is a pirate who is in search of the final page of a magical book that makes any evil plan he writes in it come true, which happens to be the Krabby Patty secret formula. When the entire city of Bikini Bottom is put in danger, SpongeBob, Patrick, Mr. Krabs, Squidward, Sandy, and Plankton need to go on a quest that takes them to the surface. In order to get back the recipe and save their city, the gang must retrieve the book and transform themselves into superheroes. | Directors: Paul Tibbitt, Mike Mitchell | Cast: Tom Kenny, Bill Fagerbakke, Rodger Bumpass, Clancy Brown, Mr. Lawrence | Genres: Family, Comedy, Adventure, Animation | Production Companies: Paramount Animation, Paramount Pictures, Nickelodeon Movies, United Plankton Pictures, Film Victoria, Rough Draft Studios, Disruption Entertainment | Production Countries: AU, US"
43,"Title: Demonic | Release Date: 2015-02-12 | Overview: A police officer and a psychologist investigate the deaths of five people who were killed while trying to summon ghosts. | Directors: Will Canon | Cast: Dustin Milligan, Scott Mechlowicz, Cody H. Carolin, Maria Bello, Frank Grillo | Genres: Thriller, Horror | Production Companies: Icon Entertainment International, Dimension Films, First Point Entertainment, IM Global | Production Countries: GB, US"
44,"Title: Self/less | Release Date: 2015-07-10 | Overview: An extremely wealthy elderly man dying from cancer undergoes a radical medical procedure that transfers his consciousness to the body of a healthy young man but everything may not be as good as it seems when he starts to uncover the mystery of the body's origins and the secret organization that will kill to keep its secrets. | Directors: Tarsem Singh | Cast: Ryan Reynolds, Ben Kingsley, Natalie Martinez, Matthew Goode, Michelle Dockery | Genres: Science Fiction, Action, Thriller | Production Companies: Ram Bergman Productions, Endgame Entertainment | Production Countries: US"
45,"Title: Spy | Release Date: 2015-05-06 | Overview: A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster. | Directors: Paul Feig | Cast: Melissa McCarthy, Rose Byrne, Jason Statham, Jude Law, Miranda Hart | Genres: Action, Comedy, Crime | Production Companies: Chernin Entertainment, Feigco Entertainment, TSG Entertainment, 20th Century Fox | Production Countries: US"
46,"Title: Regression | Release Date: 2015-10-01 | Overview: Minnesota, 1990. Detective Bruce Kenner investigates the case of young Angela, who accuses her father, John Gray, of an unspeakable crime. When John unexpectedly and without recollection admits guilt, renowned psychologist Dr. Raines is brought in to help him relive his memories and what they discover unmasks a horrifying nationwide mystery. | Directors: Alejandro Amenábar | Cast: Ethan Hawke, Emma Watson, David Thewlis, Lothaire Bluteau, Dale Dickey | Genres: Horror, Mystery, Thriller | Production Companies: Mod Producciones, First Generation Films, FilmNation Entertainment, Himenóptero, Telecinco Cinema, Telefónica Studios | Production Countries: CA, ES, US"
47,"Title: Run All Night | Release Date: 2015-03-11 | Overview: Brooklyn mobster and prolific hit man Jimmy Conlon has seen better days. Longtime best friend of a mob boss, Jimmy is haunted by the sins of his past—as well as a dogged police detective who’s been one step behind Jimmy for 30 years. But when Jimmy’s estranged son becomes a target, Jimmy must make a choice between the crime family he chose and the real family he abandoned long ago. Now, with nowhere safe to turn, Jimmy has just one night to figure out exactly where his loyalties lie and to see if he can finally make things right. | Directors: Jaume Collet-Serra | Cast: Liam Neeson, Joel Kinnaman, Ed Harris, Vincent D'Onofrio, Bruce McGill | Genres: Action, Crime, Thriller | Production Companies: RatPac Entertainment, Vertigo Entertainment, Energy Entertainment, Ombra Films, Warner Bros. Pictures | Production Countries: US, ES"
48,"Title: The Lazarus Effect | Release Date: 2015-01-29 | Overview: Medical researcher Frank, his fiancee Zoe and their team have achieved the impossible: they have found a way to revive the dead. After a successful, but unsanctioned, experiment on a lifeless animal, they are ready to make their work public. However, when their dean learns what they've done, he shuts them down. Zoe is killed during an attempt to recreate the experiment, leading Frank to test the process on her. Zoe is revived -- but something evil is within her. | Directors: David Gelb | Cast: Mark Duplass, Olivia Wilde, Donald Glover, Evan Peters, Sarah Bolger | Genres: Horror, Science Fiction, Thriller | Production Companies: Lionsgate, Blumhouse Productions, Chapter One Films, Relativity Media | Production Countries: US"
49,"Title: Abattoir | Release Date: 2016-11-24 | Overview: A reporter unearths an urban legend about a home being constructed from rooms where horrific tragedies have occurred. | Directors: Darren Lynn Bousman | Cast: Jessica Lowndes, Joe Anderson, Lin Shaye, Dayton Callie, Michael Paré | Genres: Horror, Thriller | Production Companies: Radical Pictures, Dark Web Productions, Les Enfants Terribles, Luminary Entertainment, Pacific Bridge Pictures | Production Countries: US"
50,"Title: Hitman: Agent 47 | Release Date: 2015-08-20 | Overview: An assassin teams up with a woman to help her find her father and uncover the mysteries of her ancestry. | Directors: Aleksander Bach | Cast: Rupert Friend, Zachary Quinto, Hannah Ware, Emilio Rivera, Rolf Kanies | Genres: Action, Crime, Thriller | Production Companies: Daybreak Productions, Prime Universe Productions, Giant Pictures, TSG Entertainment, Dayday Films, Ingenious Media, Fox International Productions | Production Countries: GB, US"
51,"Title: While We're Young | Release Date: 2015-04-03 | Overview: An uptight documentary filmmaker and his wife find their lives loosened up a bit after befriending a free-spirited younger couple. | Directors: Noah Baumbach | Cast: Ben Stiller, Naomi Watts, Adam Driver, Amanda Seyfried, Charles Grodin | Genres: Comedy, Drama, Mystery | Production Companies: Scott Rudin Productions | Production Countries: US"
52,"Title: Everest | Release Date: 2015-09-10 | Overview: Inspired by the incredible events surrounding a treacherous attempt to reach the summit of the world's highest mountain, ""Everest"" documents the awe-inspiring journey of two different expeditions challenged beyond their limits by one of the fiercest snowstorms ever encountered by mankind. Their mettle tested by the harshest of elements found on the planet, the climbers will face nearly impossible obstacles as a lifelong obsession becomes a breathtaking struggle for survival. | Directors: Baltasar Kormákur | Cast: Jason Clarke, Josh Brolin, Jake Gyllenhaal, Elizabeth Debicki, Keira Knightley | Genres: Adventure, Drama, History | Production Companies: Cross Creek Pictures, Working Title Films, Walden Media, RVK Studios, Universal Pictures, Free State Pictures | Production Countries: IS, GB, US"
53,"Title: San Andreas | Release Date: 2015-05-27 | Overview: In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey across the state in order to rescue his estranged daughter. | Directors: Brad Peyton | Cast: Dwayne Johnson, Alexandra Daddario, Carla Gugino, Ioan Gruffudd, Archie Panjabi | Genres: Action, Drama, Thriller | Production Companies: New Line Cinema, Village Roadshow Pictures, Flynn Picture Company, Warner Bros. Pictures | Production Countries: CA, US, AU"
