rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt
6,6,1,OLD,20197846,악질경찰,2019-03-20,35221050,1.1,2498060,7.6,2078406078,4063,-57,-1.4,241218,346,556,20190329
7,7,2,OLD,20198146,콜레트,2019-03-27,30232271,0.9,4473261,17.4,94244991,3448,186,5.7,12149,169,286,20190329
8,8,-2,OLD,20197483,1919 유관순,2019-03-14,29700000,0.9,-58930000,-66.5,371432410,3420,-7086,-67.4,44591,10,24,20190329
9,9,-1,OLD,20166301,썬키스 패밀리,2019-03-27,27546910,0.9,-242860,-0.9,112385760,3240,-300,-8.5,15426,363,705,20190329
10,10,2,OLD,20175407,우상,2019-03-20,24210526,0.8,3941646,19.4,1439526498,2826,344,13.9,167602,247,368,20190329
1,1,0,OLD,20185352,어스,2019-03-27,2528509731,36.3,1276499867,102,5907951055,275449,140873,104.7,717808,1132,5487,20190330
2,2,0,OLD,20176103,돈,2019-03-20,2295707570,32.9,1255871547,120.8,20775607002,256035,138459,117.8,2441346,1157,5736,20190330
3,3,2,OLD,20196025,덤보,2019-03-27,660853559,9.5,514616266,351.9,1048908012,78695,62158,375.9,132249,761,2200,20190330
4,4,-1,OLD,20181877,캡틴 마블,2019-03-06,675853110,9.7,404199393,148.8,48700534803,77530,46782,152.1,5473764,619,1895,20190330
5,5,-1,OLD,20183773,장난스런 키스,2019-03-27,382984241,5.5,199635524,108.9,955587628,46030,24966,118.5,121932,482,1186,20190330
6,6,0,OLD,20197846,악질경찰,2019-03-20,60603610,0.9,25382560,72.1,2139009688,6852,2789,68.6,248070,301,458,20190330
7,7,2,OLD,20166301,썬키스 패밀리,2019-03-27,47501400,0.7,19954490,72.4,159887160,5450,2210,68.2,20876,400,636,20190330
8,8,-1,OLD,20198146,콜레트,2019-03-27,45504160,0.7,15271889,50.5,139749151,5164,1716,49.8,17313,157,250,20190330
9,9,2,OLD,20197987,더 길티,2019-03-27,39016400,0.6,13221900,51.3,146484600,4134,1341,48,18094,100,238,20190330
10,10,0,OLD,20175407,우상,2019-03-20,35548050,0.5,11337524,46.8,1475074548,4021,1195,42.3,171623,226,306,20190330
1,1,1,OLD,20176103,돈,2019-03-20,2018608060,33.4,-277099510,-12.1,22794215062,228291,-27744,-10.8,2669637,1154,5587,20190331
2,2,-1,OLD,20185352,어스,2019-03-27,1991592850,32.9,-536916881,-21.2,7899543905,218619,-56830,-20.6,936427,1113,5308,20190331
3,3,0,OLD,20196025,덤보,2019-03-27,668060240,11.0,7206681,1.1,1716968252,80587,1892,2.4,212836,797,2198,20190331
4,4,0,OLD,20181877,캡틴 마블,2019-03-06,574197440,9.5,-101655670,-15,49274732243,67187,-10343,-13.3,5540951,620,1825,20190331
5,5,0,OLD,20183773,장난스런 키스,2019-03-27,418418040,6.9,35433799,9.3,1374005668,51007,4977,10.8,172939,532,1226,20190331
6,6,0,OLD,20197846,악질경찰,2019-03-20,56236110,0.9,-4367500,-7.2,2195245798,6379,-473,-6.9,254449,290,423,20190331
7,7,0,OLD,20166301,썬키스 패밀리,2019-03-27,44568710,0.7,-2932690,-6.2,204455870,5210,-240,-4.4,26086,370,594,20190331
8,8,0,OLD,20198146,콜레트,2019-03-27,44201060,0.7,-1303100,-2.9,183950211,5028,-136,-2.6,22341,157,245,20190331
9,9,0,OLD,20197987,더 길티,2019-03-27,37318000,0.6,-1698400,-4.4,183802600,3997,-137,-3.3,22091,105,237,20190331
10,10,1,OLD,20197552,출동! 도토리 구조대,2019-03-28,30018310,0.5,1007420,3.5,75263600,3883,110,2.9,9781,242,279,20190331
1,1,0,OLD,20176103,돈,2019-03-20,615229510,34.0,-1403378550,-69.5,23409444572,78882,-149409,-65.4,2748519,1082,5258,20190401
2,2,0,OLD,20185352,어스,2019-03-27,599350720,33.1,-1392242130,-69.9,8498894625,73248,-145371,-66.5,1009675,1028,4853,20190401
3,3,2,OLD,20183773,장난스런 키스,2019-03-27,160760250,8.9,-257657790,-61.6,1534765918,20766,-30241,-59.3,193705,491,1257,20190401
4,4,0,OLD,20181877,캡틴 마블,2019-03-06,150846810,8.3,-423350630,-73.7,49425579053,19069,-48118,-71.6,5560020,557,1718,20190401
5,5,-2,OLD,20196025,덤보,2019-03-27,91770550,5.1,-576289690,-86.3,1808738802,11698,-68889,-85.5,224534,565,1504,20190401
6,6,0,OLD,20197846,악질경찰,2019-03-20,23995780,1.3,-32240330,-57.3,2219241578,3091,-3288,-51.5,257540,305,461,20190401
7,7,0,NEW,20180825,미성년,2019-04-11,27810000,1.5,27810000,100,27810000,3090,3090,100,3090,9,9,20190401
8,8,0,OLD,20198146,콜레트,2019-03-27,23511590,1.3,-20689470,-46.8,207461801,3055,-1973,-39.2,25396,161,271,20190401
9,9,-2,OLD,20166301,썬키스 패밀리,2019-03-27,16788700,0.9,-27780010,-62.3,221244570,2254,-2956,-56.7,28340,349,561,20190401
10,10,-1,OLD,20197987,더 길티,2019-03-27,16031700,0.9,-21286300,-57,199834300,1939,-2058,-51.5,24030,106,245,20190401
1,1,0,OLD,20176103,돈,2019-03-20,489802630,32.7,-125426880,-20.4,23899247202,61621,-17261,-21.9,2810140,1082,5189,20190402
2,2,0,OLD,20185352,어스,2019-03-27,453415500,30.3,-145935220,-24.3,8952310125,54393,-18855,-25.7,1064068,1015,4714,20190402
3,3,0,OLD,20183773,장난스런 키스,2019-03-27,130563990,8.7,-30196260,-18.8,1665329908,16164,-4602,-22.2,209869,503,1256,20190402
4,4,0,OLD,20181877,캡틴 마블,2019-03-06,121974490,8.1,-28872320,-19.1,49547553543,15197,-3872,-20.3,5575217,562,1692,20190402
5,5,0,OLD,20196025,덤보,2019-03-27,72749740,4.9,-19020810,-20.7,1881488542,8960,-2738,-23.4,233494,547,1381,20190402
6,6,14,OLD,20197092,로망,2019-04-03,37084000,2.5,33967000,1089.7,98789500,4421,4064,1138.4,11150,24,24,20190402
7,7,1,OLD,20198146,콜레트,2019-03-27,25121250,1.7,1609660,6.8,232583051,3259,204,6.7,28655,155,269,20190402
8,8,-2,OLD,20197846,악질경찰,2019-03-20,19908900,1.3,-4086880,-17,2239150478,2596,-495,-16,260136,291,440,20190402
9,9,0,NEW,20196244,샤잠!,2019-04-03,24729000,1.7,24729000,100,37454000,2385,2385,100,3187,9,9,20190402
10,10,-1,OLD,20166301,썬키스 패밀리,2019-03-27,16381530,1.1,-407170,-2.4,237626100,2221,-33,-1.5,30561,344,547,20190402
1,1,8,OLD,20196244,샤잠!,2019-04-03,721173930,34.9,696444930,2816.3,758627930,86809,84424,3539.8,89996,1132,5199,20190403
2,2,0,NEW,20183096,생일,2019-04-03,357545220,17.3,357545220,100,450732220,45516,45516,100,55927,852,3735,20190403
3,3,-2,OLD,20176103,돈,2019-03-20,329226320,15.9,-160576310,-32.8,24228473522,41265,-20356,-33,2851405,668,2595,20190403
4,4,-2,OLD,20185352,어스,2019-03-27,313312250,15.2,-140103250,-30.9,9265622375,37751,-16642,-30.6,1101819,612,2232,20190403
5,5,-2,OLD,20183773,장난스런 키스,2019-03-27,83132960,4.0,-47431030,-36.3,1748462868,10495,-5669,-35.1,220364,294,495,20190403
6,6,0,OLD,20197092,로망,2019-04-03,61761990,3.0,24677990,66.5,160551490,8814,4393,99.4,19964,405,916,20190403
7,7,-3,OLD,20181877,캡틴 마블,2019-03-06,61678610,3.0,-60295880,-49.4,49609232153,7681,-7516,-49.5,5582898,342,667,20190403
8,8,-3,OLD,20196025,덤보,2019-03-27,22696080,1.1,-50053660,-68.8,1904184622,2863,-6097,-68,236357,257,355,20190403
9,9,5,OLD,20198104,바이스,2019-04-11,20384000,1.0,14593000,252,45268600,2548,1747,218.1,5515,11,11,20190403
10,10,3,OLD,20197483,1919 유관순,2019-03-14,17639000,0.9,8803000,99.6,419613410,2205,1101,99.7,50515,9,16,20190403
1,1,0,OLD,20196244,샤잠!,2019-04-03,462145160,27.3,-259028770,-35.9,1220773090,55807,-31002,-35.7,145803,1141,5072,20190404
2,2,0,OLD,20183096,생일,2019-04-03,341995800,20.2,-15549420,-4.3,792728020,43517,-1999,-4.4,99444,847,3537,20190404
3,3,0,OLD,20176103,돈,2019-03-20,291111550,17.2,-38114770,-11.6,24519585072,35902,-5363,-13,2887307,686,2585,20190404
4,4,0,OLD,20185352,어스,2019-03-27,269019160,15.9,-44293090,-14.1,9534641535,32093,-5658,-15,1133912,621,2162,20190404
5,5,0,OLD,20183773,장난스런 키스,2019-03-27,78418600,4.6,-4714360,-5.7,1826881468,9726,-769,-7.3,230090,342,570,20190404
6,6,1,OLD,20181877,캡틴 마블,2019-03-06,61913140,3.7,234530,0.4,49671145293,7670,-11,-0.1,5590568,340,643,20190404
7,7,-1,OLD,20197092,로망,2019-04-03,45966370,2.7,-15795620,-25.6,206517860,6349,-2465,-28,26313,402,881,20190404
8,8,0,OLD,20196025,덤보,2019-03-27,22547720,1.3,-148360,-0.7,1926732342,3036,173,6,239393,248,327,20190404
9,9,0,OLD,20198104,바이스,2019-04-11,14360000,0.8,-6024000,-29.6,59628600,1795,-753,-29.6,7310,12,12,20190404
10,10,0,NEW,20199814,킹 오브 프리즘 –샤이니 세븐 스타즈- II 카케루x조지x미나토,2019-04-04,12304850,0.7,12304850,100,12304850,1572,1572,100,1572,31,48,20190404
1,1,0,OLD,20196244,샤잠!,2019-04-03,642406652,26.3,180261492,39,1863179742,70676,14869,26.6,216479,1148,5152,20190405
2,2,0,OLD,20183096,생일,2019-04-03,495459368,20.2,153463568,44.9,1288187388,57313,13796,31.7,156757,862,3575,20190405
3,3,0,OLD,20176103,돈,2019-03-20,423834434,17.3,132722884,45.6,24943419506,47658,11756,32.7,2934965,709,2719,20190405
4,4,0,OLD,20185352,어스,2019-03-27,434056128,17.7,165036968,61.3,9968697663,47592,15499,48.3,1181504,658,2293,20190405
5,5,0,OLD,20183773,장난스런 키스,2019-03-27,142786590,5.8,64367990,82.1,1969668058,16465,6739,69.3,246555,383,701,20190405
6,6,0,OLD,20181877,캡틴 마블,2019-03-06,99730250,4.1,37817110,61.1,49770875543,11038,3368,43.9,5601606,371,703,20190405
7,7,0,OLD,20197092,로망,2019-04-03,44978760,1.8,-987610,-2.1,251496620,5665,-684,-10.8,31978,383,775,20190405
8,8,0,OLD,20196025,덤보,2019-03-27,27821330,1.1,5273610,23.4,1954553672,3380,344,11.3,242773,268,361,20190405
9,9,0,OLD,20198104,바이스,2019-04-11,21078000,0.9,6718000,46.8,80706600,2342,547,30.5,9652,12,12,20190405
10,10,9,OLD,20198043,아픈 만큼 사랑한다,2019-04-03,14542100,0.6,10347100,246.7,38289800,1769,1225,225.2,4609,115,145,20190405
1,1,0,OLD,20196244,샤잠!,2019-04-03,1442450799,27.8,800044147,124.5,3305630541,159700,89024,126,376179,1125,5252,20190406
2,2,0,OLD,20183096,생일,2019-04-03,983277413,18.9,487818045,98.5,2271464801,113329,56016,97.7,270086,856,3652,20190406
3,3,0,OLD,20176103,돈,2019-03-20,897816456,17.3,473982022,111.8,25841235962,99663,52005,109.1,3034628,747,2903,20190406
4,4,0,OLD,20185352,어스,2019-03-27,866234771,16.7,432178643,99.6,10834932434,95397,47805,100.4,1276901,712,2464,20190406
5,5,0,OLD,20183773,장난스런 키스,2019-03-27,315510970,6.1,172724380,121,2285179028,37263,20798,126.3,283818,433,899,20190406
6,6,2,OLD,20196025,덤보,2019-03-27,219028530,4.2,191207200,687.3,2173582202,27043,23663,700.1,269816,509,876,20190406
7,7,-1,OLD,20181877,캡틴 마블,2019-03-06,238635000,4.6,138904750,139.3,50009510543,26649,15611,141.4,5628255,407,780,20190406
8,8,-1,OLD,20197092,로망,2019-04-03,59982050,1.2,15003290,33.4,311478670,7412,1747,30.8,39390,393,639,20190406
9,9,15,OLD,20198023,고릴라와 슈퍼레이스,2019-04-03,14320870,0.3,12222670,582.5,26735020,1884,1580,519.7,3419,183,203,20190406
10,10,1,OLD,20198146,콜레트,2019-03-27,15751880,0.3,5744050,57.4,274041911,1809,612,51.1,33733,45,74,20190406
1,1,0,OLD,20196244,샤잠!,2019-04-03,1104461130,25.9,-337989669,-23.4,4410091671,124471,-35229,-22.1,500650,1098,4986,20190407
2,2,0,OLD,20183096,생일,2019-04-03,915734090,21.5,-67543323,-6.9,3187198891,105359,-7970,-7,375445,856,3580,20190407
3,3,0,OLD,20176103,돈,2019-03-20,743336890,17.4,-154479566,-17.2,26584572852,82722,-16941,-17,3117350,744,2823,20190407
4,4,0,OLD,20185352,어스,2019-03-27,616188650,14.4,-250046121,-28.9,11451121084,67661,-27736,-29.1,1344562,694,2392,20190407
5,5,0,OLD,20183773,장난스런 키스,2019-03-27,295047950,6.9,-20463020,-6.5,2580226978,34966,-2297,-6.2,318784,438,948,20190407
6,6,0,OLD,20196025,덤보,2019-03-27,213653020,5.0,-5375510,-2.5,2387235222,26437,-606,-2.2,296253,520,912,20190407
7,7,0,OLD,20181877,캡틴 마블,2019-03-06,193069440,4.5,-45565560,-19.1,50202579983,21687,-4962,-18.6,5649942,421,797,20190407
8,8,0,OLD,20197092,로망,2019-04-03,61129430,1.4,1147380,1.9,372608100,7548,136,1.8,46938,399,634,20190407
9,9,0,OLD,20198023,고릴라와 슈퍼레이스,2019-04-03,13341260,0.3,-979610,-6.8,40076280,1739,-145,-7.7,5158,176,200,20190407
10,10,0,OLD,20198146,콜레트,2019-03-27,13024680,0.3,-2727200,-17.3,287066591,1490,-319,-17.6,35223,45,70,20190407
1,1,1,OLD,20183096,생일,2019-04-03,313569830,26.5,-602164260,-65.8,3500768721,39139,-66220,-62.9,414584,824,3488,20190408
2,2,-1,OLD,20196244,샤잠!,2019-04-03,237867040,20.1,-866594090,-78.5,4647958711,28855,-95616,-76.8,529505,1005,4202,20190408
3,3,0,OLD,20176103,돈,2019-03-20,221142190,18.7,-522194700,-70.3,26805715042,27171,-55551,-67.2,3144521,666,2682,20190408
4,4,0,OLD,20185352,어스,2019-03-27,160791880,13.6,-455396770,-73.9,11611912964,19120,-48541,-71.7,1363682,621,2139,20190408
5,5,0,OLD,20183773,장난스런 키스,2019-03-27,76079780,6.4,-218968170,-74.2,2656306758,9254,-25712,-73.5,328038,374,836,20190408
6,6,1,OLD,20181877,캡틴 마블,2019-03-06,55783470,4.7,-137285970,-71.1,50258363453,6842,-14845,-68.5,5656784,374,784,20190408
7,7,1,OLD,20197092,로망,2019-04-03,35081870,3.0,-26047560,-42.6,407689970,4931,-2617,-34.7,51869,395,705,20190408
8,8,-2,OLD,20196025,덤보,2019-03-27,14248480,1.2,-199404540,-93.3,2401483702,1842,-24595,-93,298095,238,323,20190408
9,9,0,NEW,20188393,"다시, 봄",2019-04-17,11756000,1.0,11756000,100,11756000,1476,1476,100,1476,4,4,20190408
10,10,0,OLD,20198146,콜레트,2019-03-27,7695140,0.7,-5329540,-40.9,294761731,1029,-461,-30.9,36252,51,77,20190408
1,1,0,OLD,20183096,생일,2019-04-03,320784100,28.7,7214270,2.3,3821552821,40232,1093,2.8,454816,856,3546,20190409
2,2,1,OLD,20176103,돈,2019-03-20,202541800,18.1,-18600390,-8.4,27008256842,24902,-2269,-8.4,3169423,705,2645,20190409
3,3,-1,OLD,20196244,샤잠!,2019-04-03,198861480,17.8,-39005560,-16.4,4846820191,23894,-4961,-17.2,553399,1000,3905,20190409
4,4,0,OLD,20185352,어스,2019-03-27,138272820,12.4,-22519060,-14,11750185784,16201,-2919,-15.3,1379883,614,2040,20190409
5,5,0,OLD,20183773,장난스런 키스,2019-03-27,63989180,5.7,-12090600,-15.9,2720295938,7732,-1522,-16.4,335770,373,818,20190409
6,6,0,OLD,20181877,캡틴 마블,2019-03-06,53327110,4.8,-2456360,-4.4,50311690563,6522,-320,-4.7,5663306,383,778,20190409
7,7,0,OLD,20197092,로망,2019-04-03,37662840,3.4,2580970,7.4,445352810,5343,412,8.4,57212,405,709,20190409
8,8,0,OLD,20196025,덤보,2019-03-27,14984400,1.3,735920,5.2,2416468102,2000,158,8.6,300095,242,335,20190409
9,9,7,OLD,20197483,1919 유관순,2019-03-14,7910000,0.7,5692000,256.6,440088410,988,711,256.7,53153,11,17,20190409
10,10,0,NEW,20198104,바이스,2019-04-11,9507200,0.9,9507200,100,90213800,953,953,100,10605,18,18,20190409
1,1,0,OLD,20183096,생일,2019-04-03,340577410,22.1,19793310,6.2,4162130231,43351,3119,7.8,498167,791,3063,20190410
2,2,36,OLD,20185406,헬보이,2019-04-10,291984020,18.9,291012020,29939.5,294762020,36048,35940,33277.8,36414,585,2164,20190410
3,3,-1,OLD,20176103,돈,2019-03-20,200435840,13.0,-2105960,-1,27208692682,24863,-39,-0.2,3194286,589,2206,20190410
4,4,0,NEW,20197423,공포의 묘지,2019-04-10,156593270,10.2,156593270,100,162072270,18905,18905,100,19512,564,2013,20190410
5,5,-2,OLD,20196244,샤잠!,2019-04-03,129689790,8.4,-69171690,-34.8,4976509981,15815,-8079,-33.8,569214,686,2275,20190410
6,6,-2,OLD,20185352,어스,2019-03-27,115808350,7.5,-22464470,-16.2,11865994134,13768,-2433,-15,1393651,483,1412,20190410
7,7,4,OLD,20198403,파이브 피트,2019-04-10,82566950,5.4,75429450,1056.8,151564450,10050,9133,996,17913,445,1363,20190410
8,8,-3,OLD,20183773,장난스런 키스,2019-03-27,75382730,4.9,11393550,17.8,2795678668,9213,1481,19.2,344983,334,705,20190410
9,9,-3,OLD,20181877,캡틴 마블,2019-03-06,36007580,2.3,-17319530,-32.5,50347698143,4378,-2144,-32.9,5667684,231,440,20190410
10,10,-3,OLD,20197092,로망,2019-04-03,21830130,1.4,-15832710,-42,467182940,3214,-2129,-39.8,60426,149,226,20190410
1,1,0,OLD,20183096,생일,2019-04-03,254624830,17.4,-85952580,-25.2,4416755061,32524,-10827,-25,530691,717,2526,20190411
2,2,0,OLD,20185406,헬보이,2019-04-10,227891450,15.6,-64092570,-22,522653470,28247,-7801,-21.6,64661,658,2142,20190411
3,3,66,OLD,20180825,미성년,2019-04-11,188405540,12.9,188304540,186440.1,229637040,23357,23337,116685,27610,586,2499,20190411
4,4,-1,OLD,20176103,돈,2019-03-20,121591550,8.3,-78844290,-39.3,27330284232,15029,-9834,-39.6,3209315,525,1445,20190411
5,5,-1,OLD,20197423,공포의 묘지,2019-04-10,105640250,7.2,-50953020,-32.5,267712520,12690,-6215,-32.9,32202,529,1655,20190411
6,6,0,NEW,20198104,바이스,2019-04-11,86503500,5.9,86503500,100,176717300,11016,11016,100,21621,227,938,20190411
7,7,0,NEW,20198844,아이 엠 마더,2019-04-11,68726200,4.7,68726200,100,70067200,9013,9013,100,9162,169,722,20190411
8,8,-3,OLD,20196244,샤잠!,2019-04-03,76314760,5.2,-53375030,-41.2,5052824741,8971,-6844,-43.3,578185,554,1530,20190411
9,9,-3,OLD,20185352,어스,2019-03-27,71729250,4.9,-44079100,-38.1,11937723384,8471,-5297,-38.5,1402122,410,891,20190411
10,10,-3,OLD,20198403,파이브 피트,2019-04-10,66899380,4.6,-15667570,-19,218463830,7998,-2052,-20.4,25911,417,1146,20190411
1,1,0,OLD,20183096,생일,2019-04-03,392160230,19.8,137535400,54,4808915291,46922,14398,44.3,577613,773,2751,20190412
2,2,0,OLD,20185406,헬보이,2019-04-10,299767243,15.1,71875793,31.5,822420713,33818,5571,19.7,98479,680,2285,20190412
3,3,0,OLD,20180825,미성년,2019-04-11,254530580,12.8,66125040,35.1,484167620,28818,5461,23.4,56428,601,2639,20190412
4,4,0,OLD,20176103,돈,2019-03-20,173443770,8.7,51852220,42.6,27503728002,19989,4960,33,3229304,536,1482,20190412
5,5,0,OLD,20197423,공포의 묘지,2019-04-10,135208577,6.8,29568327,28,402921097,14977,2287,18,47179,548,1626,20190412
6,6,0,OLD,20198104,바이스,2019-04-11,114939300,5.8,28435800,32.9,291656600,13494,2478,22.5,35115,235,944,20190412
7,7,1,OLD,20196244,샤잠!,2019-04-03,115505317,5.8,39190557,51.4,5168330058,13123,4152,46.3,591308,555,1455,20190412
8,8,1,OLD,20185352,어스,2019-03-27,109573220,5.5,37843970,52.8,12047296604,12152,3681,43.5,1414274,411,909,20190412
9,9,1,OLD,20198403,파이브 피트,2019-04-10,93586300,4.7,26686920,39.9,312050130,10414,2416,30.2,36325,434,1158,20190412
10,10,-3,OLD,20198844,아이 엠 마더,2019-04-11,76327900,3.8,7601700,11.1,146395100,9159,146,1.6,18321,183,747,20190412
1,1,0,OLD,20183096,생일,2019-04-03,740847790,21.4,348687560,88.9,5549763081,86029,39107,83.3,663642,862,3271,20190413
2,2,0,OLD,20185406,헬보이,2019-04-10,550321971,15.9,250554728,83.6,1372742684,61190,27372,80.9,159669,726,2596,20190413
3,3,0,OLD,20180825,미성년,2019-04-11,369180470,10.6,114649890,45,853348090,41609,12791,44.4,98037,670,2834,20190413
4,4,0,OLD,20176103,돈,2019-03-20,315515980,9.1,142072210,81.9,27819243982,35498,15509,77.6,3264802,561,1554,20190413
5,5,2,OLD,20196244,샤잠!,2019-04-03,212333409,6.1,96828092,83.8,5380663467,23732,10609,80.8,615040,581,1361,20190413
6,6,0,OLD,20198104,바이스,2019-04-11,195826300,5.6,80887000,70.4,487482900,22198,8704,64.5,57313,241,949,20190413
7,7,-2,OLD,20197423,공포의 묘지,2019-04-10,198862379,5.7,63653802,47.1,601783476,22097,7120,47.5,69276,516,1514,20190413
8,8,0,OLD,20185352,어스,2019-03-27,182986540,5.3,73413320,67,12230283144,20068,7916,65.1,1434342,406,842,20190413
9,9,1,OLD,20198844,아이 엠 마더,2019-04-11,141318600,4.1,64990700,85.1,287713700,16108,6949,75.9,34429,213,837,20190413
10,10,1,OLD,20183773,장난스런 키스,2019-03-27,134139960,3.9,57753580,75.6,3053018068,15666,6851,77.7,375214,307,596,20190413
1,1,0,OLD,20183096,생일,2019-04-03,851549350,23.6,110701560,14.9,6401312431,98132,12103,14.1,761774,865,3228,20190414
2,2,0,OLD,20185406,헬보이,2019-04-10,545641670,15.1,-4680301,-0.9,1918384354,60574,-616,-1,220243,726,2558,20190414
3,3,0,OLD,20180825,미성년,2019-04-11,388280050,10.8,19099580,5.2,1241628140,43551,1942,4.7,141588,673,2745,20190414
4,4,0,OLD,20176103,돈,2019-03-20,337997300,9.4,22481320,7.1,28157241282,37979,2481,7,3302781,563,1542,20190414
5,5,0,OLD,20196244,샤잠!,2019-04-03,196528190,5.5,-15805219,-7.4,5577191657,21931,-1801,-7.6,636971,563,1277,20190414
6,6,0,OLD,20198104,바이스,2019-04-11,177924600,4.9,-17901700,-9.1,665407500,20075,-2123,-9.6,77388,238,915,20190414
7,7,0,OLD,20197423,공포의 묘지,2019-04-10,161764200,4.5,-37098179,-18.7,763547676,17858,-4239,-19.2,87134,498,1384,20190414
8,8,1,OLD,20198844,아이 엠 마더,2019-04-11,155746300,4.3,14427700,10.2,443460000,17664,1556,9.7,52093,212,807,20190414
9,9,2,OLD,20198403,파이브 피트,2019-04-10,152974620,4.2,23802610,18.4,594196760,16843,2616,18.4,67395,457,1026,20190414
10,10,-2,OLD,20185352,어스,2019-03-27,151876940,4.2,-31109600,-17,12382160084,16560,-3508,-17.5,1450902,384,800,20190414
1,1,0,OLD,20183096,생일,2019-04-03,237271000,23.2,-614278350,-72.1,6638583431,30109,-68023,-69.3,791883,800,2951,20190415
2,2,0,OLD,20185406,헬보이,2019-04-10,144298710,14.1,-401342960,-73.6,2062683064,17854,-42720,-70.5,238097,632,2344,20190415
3,3,0,OLD,20180825,미성년,2019-04-11,130548280,12.8,-257731770,-66.4,1372176420,16229,-27322,-62.7,157817,612,2499,20190415
4,4,0,OLD,20176103,돈,2019-03-20,96079800,9.4,-241917500,-71.6,28253321082,12075,-25904,-68.2,3314856,522,1469,20190415
5,5,4,OLD,20198403,파이브 피트,2019-04-10,55478810,5.4,-97495810,-63.7,649675570,6684,-10159,-60.3,74079,428,953,20190415
6,6,0,OLD,20198104,바이스,2019-04-11,52250000,5.1,-125674600,-70.6,717657500,6494,-13581,-67.7,83882,225,811,20190415
7,7,1,OLD,20198844,아이 엠 마더,2019-04-11,44781200,4.4,-110965100,-71.2,488241200,5903,-11761,-66.6,57996,180,720,20190415
8,8,-1,OLD,20197423,공포의 묘지,2019-04-10,46108760,4.5,-115655440,-71.5,809656436,5508,-12350,-69.2,92642,442,1086,20190415
9,9,1,OLD,20185352,어스,2019-03-27,39057890,3.8,-112819050,-74.3,12421217974,4638,-11922,-72,1455540,366,699,20190415
10,10,-5,OLD,20196244,샤잠!,2019-04-03,35246180,3.4,-161282010,-82.1,5612437837,4207,-17724,-80.8,641178,462,954,20190415
1,1,0,OLD,20183096,생일,2019-04-03,327654830,29.6,90383830,38.1,6966238261,42389,12280,40.8,834272,827,3085,20190416
2,2,1,OLD,20180825,미성년,2019-04-11,119282180,10.8,-11266100,-8.6,1491458600,15017,-1212,-7.5,172834,628,2381,20190416
3,3,-1,OLD,20185406,헬보이,2019-04-10,111023090,10.0,-33275620,-23.1,2173706154,13726,-4128,-23.1,251823,623,2240,20190416
4,4,0,OLD,20176103,돈,2019-03-20,81036650,7.3,-15043150,-15.7,28334357732,10446,-1629,-13.5,3325302,542,1418,20190416
5,5,13,OLD,20185784,나의 특별한 형제,2019-05-01,59054000,5.3,55610000,1614.7,69728000,8945,8371,1458.4,10965,48,48,20190416
6,6,-1,OLD,20198403,파이브 피트,2019-04-10,53634020,4.8,-1844790,-3.3,703309590,6529,-155,-2.3,80608,424,945,20190416
7,7,-1,OLD,20198104,바이스,2019-04-11,48050500,4.3,-4199500,-8,765708000,5891,-603,-9.3,89773,226,796,20190416
8,8,-1,OLD,20198844,아이 엠 마더,2019-04-11,36424700,3.3,-8356500,-18.7,524665900,4630,-1273,-21.6,62626,189,706,20190416
9,9,3,OLD,20181877,캡틴 마블,2019-03-06,33919240,3.1,7027400,26.1,50659584713,4202,893,27,5703849,213,346,20190416
10,10,-1,OLD,20185352,어스,2019-03-27,34913550,3.1,-4144340,-10.6,12456131524,4141,-497,-10.7,1459681,349,667,20190416
1,1,0,OLD,20183096,생일,2019-04-03,254784140,22.3,-72870690,-22.2,7221022401,32539,-9850,-23.2,866811,709,2719,20190417
2,2,32,OLD,20183454,요로나의 저주,2019-04-17,198250890,17.3,196720890,12857.6,223809890,23480,23310,13711.8,26321,579,2707,20190417
3,3,-1,OLD,20180825,미성년,2019-04-11,98595450,8.6,-20686730,-17.3,1590054050,12303,-2714,-18.1,185137,536,1600,20190417
4,4,-1,OLD,20185406,헬보이,2019-04-10,83873940,7.3,-27149150,-24.5,2257580094,10417,-3309,-24.1,262240,524,1760,20190417
5,5,14,OLD,20182501,왓칭,2019-04-17,64820050,5.7,58160050,873.3,86417050,8181,7441,1005.5,10764,488,1501,20190417
6,6,-2,OLD,20176103,돈,2019-03-20,65826140,5.8,-15210510,-18.8,28400183872,8177,-2269,-21.7,3333479,433,1086,20190417
7,7,0,OLD,20198104,바이스,2019-04-11,43458300,3.8,-4592200,-9.6,809166300,5363,-528,-9,95136,193,638,20190417
8,8,-3,OLD,20185784,나의 특별한 형제,2019-05-01,32229000,2.8,-26825000,-45.4,101957000,5050,-3895,-43.5,16015,19,23,20190417
9,9,0,NEW,19990220,노팅 힐,1999-07-03,34328300,3.0,34328300,100,34613300,4512,4512,100,4615,168,512,20190417
10,10,4,OLD,20188393,"다시, 봄",2019-04-17,32372060,2.8,13510060,71.6,62990060,4124,2058,99.6,7666,360,822,20190417
1,1,0,OLD,20183096,생일,2019-04-03,226770890,20.1,-28013250,-11,7447793291,29015,-3524,-10.8,895826,671,2496,20190418
