title,release_date,imdb_id,tmdb_id,overview,origin_country,popularity,runtime,vote_average,vote_count,directors,directors_id,directors_popularity,cast_top5,cast_top5_id,cast_top5_popularity,genres,production_companies,production_companies_id,production_countries,audiAcc
"PriPara Movie: Everyone, Assemble! Prism☆Tours",2015-03-07,tt6139698,365970,"PriPara the Movie: Everyone, Assemble! Prism ☆ Tours is a film based on and starring the characters from PriPara. The film is scheduled to begin showing in theaters across Japan from March 7, 2015. The plot will focus on Laala Manaka finding out about Saints' top idol journey, and will feature the return of many characters from across all the Pretty Rhythm series.",KR,0.6653,90,6.2,3,Masakazu Hishida,1549386,0.4689,,,,"Animation, Comedy","avex pictures, Tatsunoko Production, Dongwoo A&E Co., Ltd.","55938, 13583, 4571","KR, JP",13950
The Deal,2015-03-12,tt4432058,335640,"A cop catches a serial killer who murdered his sister but never finds her body. The lack of closure torments him and drives his brother-in-law insane, who makes a deal with the mafia for revenge.",KR,4.2721,102,5.8,36,Son Yong-ho,1453807,0.0368,"Kim Sang-kyung, Kim Sung-kyun, Park Sung-woong, Yoon Seung-ah, Kim Eui-sung","69378, 1024396, 139493, 1252867, 1347175","1.6445, 1.8918, 2.1636, 0.6214, 1.5951","Crime, Drama, Thriller",9ers Entertainment,41527,KR,849142
Socialphobia,2015-03-12,tt4203200,297400,"A woman is attacked by Internet users after posting provocative remarks online. Using her personal information, they go to her place but what they find is her body; she took her own life. Who made her kill herself? Or, was she killed by someone else?",KR,2.7892,100,7.5,24,Hong Seok-jae,1373774,0.0646,"Byun Yo-han, Lee Ju-seung, Ryu Jun-yeol, Ha Yoon-kyung, Park Keun-rok","1337780, 1134769, 1530733, 1579819, 1709230","1.2457, 1.0556, 1.8845, 1.5834, 0.7642","Thriller, Mystery, Drama","Korean Academy of Film Arts, CGV Arthouse, Korean Film Council","7083, 68969, 36270",KR,240147
Heartbreak Hotel,2015-03-19,tt4535872,332834,"John (Kang Ji-Hwan) travels to Los Angeles and saves a gang boss. He also meets  Sarah (Yoon Jin-Seo), the girlfriend of the gang boss. John and Sarah fall for each other.",KR,0.885,87,5.0,3,Kim Tai-sik,1109731,0.2482,"Kang Ji-hwan, Yoon Jin-seo, Davis Choh, Ahn Suk-hwan","83015, 117504, 2016766, 1239677","0.6981, 1.3069, 0.0588, 1.1573","Romance, Action","JNC Media Group, Film Line","115543, 115399",KR,17342
Twenty,2015-03-25,tt4415016,331251,"A story about three friends who just turned twenty; an age where you can do whatever you want, love whoever you want with opportunities abroad.",KR,2.5894,115,7.2,107,Lee Byeong-heon,1456792,1.1189,"Kim Woo-bin, Lee Jun-ho, Kang Ha-neul, Jung So-min, Lee Yu-bi","1257671, 1320503, 1257899, 1252017, 1346876","2.7105, 2.7547, 2.8368, 3.105, 1.1432","Comedy, Drama","Next Entertainment World, iHQ","20064, 68635",KR,2770517
Foulball,2015-04-02,,373991,,KR,0.2467,0,5.0,1,Cho Jung-lae,1302905,0.4515,"Kim Seong-geun, Cho Jin-woong","1553130, 138336","0.0143, 1.7999",Documentary,"TPS Company, Opus Pictures, JO Entertainment","70681, 7270, 73661",KR,23155
Delicious Delivery,2015-04-02,tt19316492,335117,A delivery boy gives it his all while delivering packages!  Will he be able to find real love in his erotic delivery life?  Im Hyeok is a handsome boy who gets dumped by his girlfriend and takes a break from school after his father goes bankrupt. He starts working as a delivery boy and his life changes completely. He provides other services to women who have nothing else to look forward to in their lives besides wait for their package to arrive.  The women in an apartment complex become a group and share Im Hyeok with each other. They include his sexy ex-girlfriend Hee-seon and innocent girl Tae-hee. The 5 sensual life between the five women and Im Hyeok starts now.Delicious Delivery,KR,2.2415,84,4.4,5,Gi Dae-ho,1710125,0.1328,"Song Gi-joon, Son Ga-ram, Jeon Eun-jin, Ban Hee, Jeon Ye-eun","2073468, 4191122, 4190248, 2619462, 4191175","0.2797, 0.2544, 0.8116, 0.4802, 0.1312",Romance,Road House,82012,KR,2057
Salut d'Amour,2015-04-09,tt4695462,329253,"Sung-chil works at the Jang-soo Store which is owned by Jang-soo. Sung-chil is stubborn and has a bad temper, but he changes after meeting Geum-nim. Geun-nim runs a flower shop and her daughter Min-jung does not like her meeting Sung-chil.",KR,1.738,112,7.8,22,Kang Je-kyu,64883,0.8119,"Park Keun-hyong, Youn Yuh-jung, Cho Jin-woong, Han Ji-min, Hwang Woo-seul-hye","553237, 1080935, 138336, 1010877, 462583","1.1242, 1.2148, 1.7999, 2.1472, 1.2237","Comedy, Romance","CJ Entertainment, Big Picture","7036, 142673",KR,1044053
Black Hand,2015-04-16,tt4543902,337132,"Jung-Woo (Kim Sung-Su) is a neurosurgeon and also works in bioengineering research. He is married, but has an ongoing relationship with Yoo-Gyeong (Han Go-Eun). She is a doctor and stands by Jung-Woo.  Yoo-Gyeong has a mysterious accident one day and her hand is cut off in the accident. Thanks to Jung-Woo's quick thinking, her hand is reattached successfully with surgery. Yoo-Gyeong's health improves after the surgery, but bizarre events take place around her constantly.",KR,0.5957,101,5.4,8,Park Jae-sik,1458374,0.0434,"Han Go-eun, Kim Sung-su, Bae Geu-rin, Shin Jung-sun, Park Seo-yeon","1458368, 223144, 1496577, 1630436, 1335802","0.7925, 0.9225, 0.4315, 0.0516, 0.6281",Horror,Golden Tide Pictures,51900,KR,4255
Clown of a Salesman,2015-04-23,,339295,"Il-bum works hard to pay off his daughter’s hospital bills but one day gets fired for being wrongly accused as a molester. After series of failures, Il-bum finds a job at a PR company which provides free entertainment to old women in exchange for buying their products. Il-bum feels shameful to play dirty tricks on old women but he has no other choice. Despite his initial concerns, Il-bum starts to feel a sense of worth entertaining old women. A new team member, Ok-nim joins and Il-bum becomes a good friend to her, making her feel warm and safe which she never gets from her own son. But, the joy of their friendship won’t hold long when Il-bum’s debt reaches beyond help.",KR,0.797,104,6.0,3,Jo Chi-eon,2692158,0.0071,"Kim In-kwon, Park Cheol-min, Lee Joo-sil, Choi Jae-hwan, Kim Si-young","115904, 138527, 138525, 118975, 1335780","1.2879, 1.6888, 1.1869, 0.2425, 0.1387",Drama,"26 Company, 9ers Entertainment, Daemyung Culture Factory, The Contents On","97992, 41527, 112456, 113586",KR,39831
Enemies In-Law,2015-04-29,tt5449088,340912,"Chul-soo is the only son of a legendary thief family. He falls in love with Young-hee who is a police officer. Her family is also a police family. To get her parents’ permission to marry, Chul-soo undertakes an exam to become a police officer, but both families work to prevent their marriage.",KR,1.1676,119,6.1,26,Kim Jin-young,150416,0.1279,"Jin Se-yeon, Hong Jong-hyun, Shin Jung-keun, Jeon Su-kyung, Kim Eung-soo","227430, 1254976, 578838, 1299344, 147852","1.4149, 1.6008, 1.5548, 0.8784, 1.6017","Romance, Comedy","Lotte Entertainment, The Contents On, iMBC, The Pictures with a View, Mains Entertainment","7819, 113586, 116591, 20359, 19411",KR,468737
Coin Locker Girl,2015-04-29,tt4647788,336744,"A child abandoned in a subway coin locker is sold to a ruthless and calculating loan shark and gangster boss dubbed Mother, who runs an organ-harvesting ring in Incheon’s Chinatown. Named Il-Young, the baby girl grows into Mother’s loyal right-hand enforcer and is groomed to be her eventual successor. But when Il-Young’s loyalty to Mother wavers, the clash between the two unleashes a merciless tidal wave of blood-soaked retribution and strife.",KR,2.818,110,7.0,102,Han Jun-hee,1457187,1.1134,"Kim Hye-soo, Kim Go-eun, Um Tae-goo, Park Bo-gum, Go Kyung-pyo","146245, 1067849, 1436248, 587634, 1257601","2.2675, 4.4166, 1.0052, 8.0818, 1.7222","Drama, Thriller","Barunson, CGV Arthouse","51656, 68969",KR,1445654
Love Clinic,2015-05-07,tt4946602,340819,"A young female urologist opens an office in the same building as a male obstetrician. Eventually, they become entangled in a romance that allows them to grow and heal together.",KR,2.9956,101,6.6,17,Aaron Kim,980287,0.0819,"Kang Ye-won, Oh Ji-ho, Ha Joo-hee, Hong Yi-joo, Kim Joong-hee","235338, 96784, 1646782, 2097752, 2463467","1.579, 1.2477, 1.0024, 0.3922, 1.3232","Drama, Comedy, Romance","WAW Pictures, Showbox, M-Line Distribution","112524, 3491, 48320",KR,212126
The Chronicles of Evil,2015-05-14,tt4619940,340746,A detective accidentally kills a man and disposes of the body to protect his career. The next day he sees that someone has hanged the corpse from a crane for all to see. He takes charge of the murder investigation to protect himself and find out who did it.,KR,1.6098,102,7.3,68,Baek Woon-hak,235064,0.2168,"Son Hyun-joo, Don Lee, Park Seo-jun, Choi Daniel, Lee Sang-won","1015873, 1024395, 1347525, 1252369, 2260893","1.4701, 6.4738, 2.4662, 1.0871, 0.8806","Thriller, Crime","CJ Entertainment, BA Entertainment","7036, 84678",KR,2091722
The Shameless,2015-05-15,tt4636022,336053,"A homicide detective tries to flush out a mob enforcer by befriending the suspect's beautiful girlfriend, but soon develops romantic feelings for her.",KR,1.7078,118,6.444,36,Oh Seung-uk,1105286,0.762,"Jeon Do-yeon, Kim Nam-gil, Park Sung-woong, Kwak Do-won, Kim Min-jae","20737, 110388, 139493, 1155298, 573792","1.8478, 1.5981, 2.1636, 1.1313, 1.7536","Drama, Crime","CGV Arthouse, Sanai Pictures","68969, 27133",KR,406139
Madonna,2015-05-20,tt4636074,336054,"A hospital caregiver tries to stop an unidentified female ER patient, in a brain dead state and pregnant, from becoming a heart donor for a VIP patient.",KR,1.4664,121,5.9,9,Shin Su-won,577392,0.4535,"Seo Young-hee, Kwon So-hyun, Kim Young-min, Yoo Soon-chul, Byun Yo-han","75914, 2116909, 4259, 1567063, 1337780","1.3485, 0.8254, 1.5112, 0.1675, 1.2457",Drama,JUNE Film,96992,KR,13961
The Treacherous,2015-05-21,tt4844288,338803,"The story of Joseon's tyrant king Yeonsan who exploits the populace for his own carnal pleasures, his seemingly loyal retainer who controls him and all court dealings, and a woman who seeks vengeance.",KR,5.1998,133,6.0,79,Min Kyu-dong,150150,1.1908,"Ju Ji-hoon, Kim Kang-woo, Lim Ji-yeon, Lee You-young, Cheon Ho-jin","150125, 84751, 1329984, 1246517, 87090","3.254, 1.4971, 2.2188, 1.3687, 1.8313","Drama, History, Crime","Lotte Entertainment, Soo Film","7819, 96988",KR,1043580
Perfect Proposal,2015-06-04,tt3602144,342021,"An indebted young woman gets a proposal from a handsome man to apply for work on a luxury yacht with his boss, the difficult, infirm old chairman of a large company, where they can manipulate him to get their hands on his wealth.",KR,2.4305,110,6.7,19,Yoon Jae-goo,115906,0.0946,"Lim Soo-jung, Yoo Yeon-seok, Lee Kyung-young, Jin Kyung, Park Cheol-min","37940, 587675, 231476, 560070, 138527","1.4769, 2.8447, 1.5496, 1.8458, 1.6888","Thriller, Crime, Drama","CJ Entertainment, Bidangil Pictures, Soo Film","7036, 11589, 96988",KR,143502
A Midsummer's Fantasia,2015-06-11,tt3808172,297743,"Reality and fantasy melds as a Korean documentary film director attempts to capture life in the small town of Gojo, Japan.",KR,0.6682,97,7.2,12,Jang Kun-jae,1130921,0.4312,"Kim Sae-byuk, Ryo Iwase, Lim Hyung-kook, Suon Kan, Park Hyun-young","1374555, 1374556, 125732, 1286439, 3124640","1.012, 0.525, 0.8796, 0.4561, 0.0286","Romance, Drama","Nara International Film Festival, Mocushura Film Production, Indiestory, Korean Film Council","35436, 35437, 45370, 36270","JP, KR",16790
The Classified File,2015-06-18,tt4791594,344476,A detective and a fortune teller join forces to find a kidnapped child whom no one expects to be alive. Based on a true story.,KR,1.7406,108,6.6,48,Kwak Kyung-taek,84998,0.84,"Kim Yun-seok, Yoo Hai-jin, Lee Jung-eun, Song Young-chang, Hwang Chae-won","75912, 84996, 2406037, 88298, 1533904","1.6654, 1.8314, 0.6661, 1.5538, 0.1907","Crime, Drama","New World, JCONCOMPANY, Showbox","96477, 137707, 3491",KR,2740341
The Silenced,2015-06-18,tt4708348,342657,A sickly girl Ju-ran transfers to a new sanitorium boarding school to regain health. But she discovers that students are disappearing and notices abnormal changes happening to her body. She suspects the school for what's happening and tries to discover what secret is hidden.,KR,1.9985,99,6.497,168,Lee Hae-young,1293710,0.7486,"Park Bo-young, Uhm Ji-won, Park So-dam, Kong Ye-ji, Sim Hee-seop","83036, 1299243, 1442583, 1541780, 1164503","4.4605, 1.2816, 3.4886, 0.525, 0.9572","Horror, Thriller, Mystery","Generation Blue Films, Lotte Entertainment, The Secret Garden","79409, 7819, 123948",KR,354119
The Unfair,2015-06-24,tt4800070,345670,"Residents, who are evicted from their homes in a designated urban renewal, demonstrate against their removal. The police arrive and attempt to end the demonstration. Death happen that lead to the bigger problem.",KR,1.8915,127,7.3,10,Kim Seong-je,132178,0.1659,"Yoon Kye-sang, Yoo Hai-jin, Kim Ok-vin, Lee Kyung-young, Jang Kwang","1257592, 84996, 1059584, 231476, 1096793","1.5305, 1.8314, 1.9953, 1.5496, 1.6637","Drama, Crime","Cinema Service, Harimao Pictures, 9ers Entertainment","868, 64617, 41527",KR,374717
Northern Limit Line,2015-06-24,tt4696222,343843,"In this true story from 2002, South Korean patrol boats engaged in a deadly battle with North Korean patrol boats who crossed the maritime border known the Northern Limit Line and attacked.",KR,2.0823,130,6.52,50,Kim Hak-soon,1475318,0.0673,"Kim Moo-yul, Jin Goo, Lee Hyun-woo, Lee Chung-ah, Song Jae-ho","84788, 1299287, 1299252, 126743, 1080904","3.0347, 1.4851, 1.4748, 1.2362, 1.4369","War, History","ROSETTA CINEMA, Next Entertainment World","84964, 20064",KR,4877052
Intimate Enemies,2015-06-25,tt4607976,340067,"At a car accident site, Ji-Noo (Ryoo Seung-Bum), Na-Mi (Koh Joon-Hee), Jung-Sook (Ryoo Hyoun-Kyoung) and Yakuboo (Samuel Okyere) find a bag filled with money. They become involved in a dangerous case.",KR,1.4742,110,5.2,11,Im Sang-soo,132452,0.636,"Ryoo Seung-bum, Go Joon-hee, Samuel Okyere, Yang Ik-june, Ryu Hyun-kyung","88876, 1073874, 1466799, 108538, 143541","1.2497, 1.0287, 0.7048, 1.2183, 1.4155","Action, Adventure, Comedy, Thriller","20th Century Fox Korea, M-Line Distribution, Fox International Productions Korea, Ivanhoe Pictures","112148, 48320, 207358, 107897","KR, US",125467
The Piper,2015-07-09,tt4718500,345888,"Shortly after the Korean war, a father and a son are wandering through the country and make a stop in a remote village, where strange and dangerous happenings occur.",KR,1.4859,107,7.1,65,Kim Kwang-tae,1480520,0.0362,"Ryu Seung-ryong, Lee Sung-min, Chun Woo-hee, Lee Joon, Goo Seung-hyun","227638, 141548, 1263930, 1257963, 1556940","1.5837, 1.7208, 3.6003, 1.4621, 0.6961","Horror, Mystery, Thriller","CJ Entertainment, Smiley Face, UBU Film","7036, 120220, 12682",KR,822470
Three Summer Nights,2015-07-15,tt6419470,352155,"Seeking a break from their everyday lives, three friends head to the beach looking for a good time, but wind up chased by the police and a gang instead.",KR,1.5894,106,4.5,2,Kim Sang-jin,80651,0.5825,"Kim Dong-wook, Im Won-hee, Son Ho-jun, Yoon Je-moon, Ryu Hyun-kyung","118976, 1004565, 1134685, 141541, 143541","1.4516, 1.712, 1.4331, 1.5562, 1.4155",Comedy,"9ers Entertainment, The LAMP, Little Big Pictures, Invent Stone","41527, 92012, 71853, 60901",KR,74617
Assassination,2015-07-22,tt3501416,291549,"In Japanese-occupied Korea, three freedom fighters are assigned a mission to assassinate a genocidal military leader and his top collaborator. But the plan goes completely awry amidst double-crossings, counter-assassinations, and a shocking revelation about one of the assassins' past.",KR,3.6024,140,7.3,247,Choi Dong-hoon,119337,0.9789,"Gianna Jun, Ha Jung-woo, Lee Jung-jae, Oh Dal-su, Cho Jin-woong","63436, 75913, 73249, 77188, 138336","2.1232, 1.9317, 2.3758, 1.4342, 1.7999","Action, Thriller, Drama","Caper Film, Showbox","118358, 3491",KR,9329780
Veteran,2015-08-05,tt4768764,346646,"When an old collaborator gets severely injured, a veteran policeman tries to figure out the way to bring to justice the ultimately suspected aggressor, a spoiled young executive, heir to a mega corporation, who believes he is above the law.",KR,4.4091,123,6.9,223,Ryoo Seung-wan,86325,1.0502,"Hwang Jung-min, Yoo Ah-in, Yoo Hai-jin, Oh Dal-su, Jang Yoon-ju","68903, 572225, 84996, 77188, 1692997","3.2284, 1.8095, 1.8314, 1.4342, 1.3643","Action, Crime, Comedy, Thriller","Filmmaker R&K, Froniter Works Comic, Stone Comics Entertainment, CJ Entertainment, filmK","12987, 112917, 111156, 7036, 112927",KR,9395163
Memories of the Sword,2015-08-13,tt3054798,348689,"While in medieval Korea, a young girl sets out to revenge the betrayal and the death of her mother. But therefore she must face one of the most powerful men and warriors of the Goryeo Dynasty.",KR,2.2184,120,6.6,98,Park Heung-sik,1044894,0.7123,"Lee Byung-hun, Jeon Do-yeon, Kim Go-eun, Lee Jun-ho, Lee Kyung-young","25002, 20737, 1067849, 1320503, 231476","6.1602, 1.8478, 4.4166, 2.7547, 1.5496","Drama, History, Action","Lotte Entertainment, TPS Company","7819, 70681",KR,425752
Alice in Earnestland,2015-08-13,tt4702528,347697,"A young woman struggles to pay the hospital bills of her vegetative husband. Despite her hard work, there's no hope for him to ever wake up, until an opportunity arises.",KR,1.7169,87,6.8,27,Ahn Gooc-jin,1489282,0.5164,"Lee Jung-hyun, Lee Hae-yeong, Seo Young-hwa, Dong Bang-woo, Lee Jun-hyeok","1244822, 223348, 564849, 1299218, 566372","1.4411, 1.1089, 0.8184, 1.1182, 1.7127","Drama, Comedy, Thriller","CGV Arthouse, Korean Academy of Film Arts, Korean Film Council","68969, 7083, 36270",KR,21849
Wonderful Nightmare,2015-08-13,tt5058114,342055,"When a woman dies after a mistake by personalities in the afterlife, she needs to exist as a different woman for a while.",KR,1.6881,125,7.2,29,Kang Hyo-jin,87781,0.4387,"Uhm Jung-hwa, Song Seung-heon, Kim Sang-ho, Ra Mi-ran, Seo Shin-ae","121149, 83020, 123820, 980225, 1257608","1.8772, 2.3125, 1.9577, 1.6737, 0.9011",Comedy,Plus M Entertainment,91505,KR,903619
The Chosen: Forbidden Cave,2015-08-20,tt4841648,357995,"Jin-Myung is a psychiatrist and exorcist. With his assistant, Ji-Kwang, they attempt an exorcism on Geum-Joo. She suffers from a bizarre phenomenon. They then face a powerful existence within Geum-Joo. Extreme horror arises out of her.",KR,1.6427,105,5.9,7,Kim Hwi,1107433,0.178,"Kim Sung-kyun, Yu Seon, Cheon Ho-jin, Cha Ye-ryun, Kim Hye-seong","1024396, 87897, 87090, 127705, 1234599","1.8918, 2.5779, 1.8313, 1.0805, 0.5697",Horror,Kidari ENT,112648,KR,111449
The Beauty Inside,2015-08-20,tt4273886,338729,"Woo-jin, a furniture designer who wakes up in a different body every day, falls for Yi-soo, a woman he meets through his work.",KR,3.6949,127,7.7,270,Baik,1480986,0.7531,"Han Hyo-joo, Kim Dae-myung, Do Ji-han, Bae Sung-woo, Park Shin-hye","240145, 1330423, 1141056, 573794, 1156197","3.8968, 1.6661, 0.9491, 1.3618, 3.0701","Fantasy, Romance","Yong Film, Next Entertainment World","49096, 20064",KR,1855386
Untouchable Lawmen,2015-08-27,tt13985940,359243,"Jung-Jin is a criminal profiler and he came from the FBI in the United States. Yoo-Min is a detective and he graduated from the top police university, but he is more interested in women then arresting criminals. Jung-Jin and Yoo-Min are called to the special investigation headquarter for a secret meeting. There, Jung-Jin and Yoo-Min receive an order to take down the boss of a criminal organization. The crime boss, with the help of people in power, appears untouchable.",KR,1.0467,104,6.9,6,Shin Jai-ho,118688,0.0982,"Im Chang-jung, Choi Daniel, Lim Eun-kyung, Jang Kwang, Lee Kyung-young","87540, 1252369, 232017, 1096793, 231476","1.1091, 1.0871, 0.5252, 1.6637, 1.5496","Crime, Action",Storm Pictures Korea,88075,KR,341667
Office,2015-09-03,tt4682562,336055,"To nab a sales manager who's at large after murdering his family, a detective investigates the man's colleagues, who seem to be hiding something.",KR,1.6992,111,6.4,69,Hong Won-chan,75918,0.6201,"Ko A-sung, Park Sung-woong, Bae Sung-woo, Kim Eui-sung, Ryu Hyun-kyung","21689, 139493, 573794, 1347175, 143541","1.3387, 2.1636, 1.3618, 1.5951, 1.4155","Thriller, Mystery","Little Big Pictures, kth, Film Blossom","71853, 119446, 260135",KR,437884
Love Never Fails,2015-09-10,tt5082814,386858,"No pain, no gain. This is the motto of the Yoo family: the father is a successful doctor, the mother supervises their daughter's scholastic performance from the vantage point of their beautiful home. Then cracks appear in the facade which soon deepen and spread. In particular, the father seems to be losing control - he is suddenly faced with a sexual harassment lawsuit and an absurd running battle with a taxi driver.",KR,0.527,100,3.7,3,Min Byung-hun,150239,0.05,"Jang Hyun-sung, Choi Jung-won, Oh Yoo-jin, Choi Min-chul, Hwang Jeong-min","64455, 1710675, 4886353, 1418579, 1891352","1.8479, 0.524, 0.3103, 0.7156, 1.2037",Family,,,KR,5989
Deep Trap,2015-09-10,tt4922028,361539,A man invites a young couple  to vacation on a remote island to help reignite their faltering relationship. He initially seems to be a good host but the couple starts to suspect that his true intentions are much more sinister.,KR,1.5528,96,6.5,20,Kwon Hyung-jin,84993,0.0621,"Don Lee, Kim Min-kyung, Jo Han-sun, Ji an","1024395, 2143848, 1307322, 2079947","6.4738, 0.3126, 0.8674, 0.8393",Thriller,"Daydream, JNC Media Group, Invent Stone","117236, 115543, 60901",KR,257675
Collective Invention,2015-09-14,tt4935110,356201,Park Goo mutates into a man-fish due to side effects from an experimental drug. He receives heavy publicity and becomes a star. A conspiracy by a pharmaceutical company leads Park Goo to being possibly expelled from the world.,KR,1.4678,92,6.081,31,Kwon O-kwang,1500680,0.1532,"Lee Kwang-soo, Park Bo-young, Lee Chun-hee, Jang Kwang, Lee Byung-joon","1326172, 83036, 233437, 1096793, 989991","2.0822, 4.4605, 0.9548, 1.6637, 0.5428","Comedy, Drama","Filament Pictures, Woosang Pictures","24096, 119175",KR,96374
