title,release_date,imdb_id,tmdb_id,overview,directors,cast_top5,genres,production_companies,production_countries
Jeepers Creepers 3,2017-09-26,tt1139592,55341,"Taking place on the last day of the Creeper’s twenty-three-day feeding frenzy, as the skeptical Sergeant Tubbs teams up with a task force hellbent on destroying the Creeper for good. The Creeper fights back in gory glory as its enemies grow closer than ever before to learning the secret of its dark origins.",Victor Salva,"Stan Shaw, Gabrielle Haugh, Jonathan Breck, Brandon Smith, Meg Foster","Horror, Mystery, Thriller","Scoundrel Media, American Zoetrope, Infinity Films",US
Area 51,2015-05-15,tt1519461,57876,"Three young conspiracy theorists attempt to uncover the mysteries of Area 51, the government's secret location rumored to have hosted encounters with alien beings. What they find at this hidden facility exposes unimaginable secrets.",Oren Peli,"Frank Novak, Reid Warner, Darrin Bragg, Ben Rovner, Jelena Nik","Horror, Science Fiction, Mystery","Insurge Pictures, Blumhouse Productions, Aramid Entertainment, IM Global, Incentive Filmed Entertainment, Room 101, Solana Films",US
Pride and Prejudice and Zombies,2016-02-04,tt1374989,58431,"A zombie outbreak has fallen upon the land in this reimagining of Jane Austen's classic tale of the tangled relationships between lovers from different social classes in 19th century England. Feisty heroine Elizabeth Bennet is a master of martial arts and weaponry and the handsome Mr. Darcy is a fierce zombie killer, yet the epitome of upper class prejudice. As the zombie outbreak intensifies, they must swallow their pride and join forces on the blood-soaked battlefield in order to conquer the undead once and for all.",Burr Steers,"Lily James, Sam Riley, Jack Huston, Bella Heathcote, Douglas Booth","Romance, Horror, Comedy, Thriller","Handsomecharlie Films, Cross Creek Pictures, Panorama Media, QC Entertainment, MadRiver Pictures, Allison Shearmur Productions, Head Gear Films, PPZ Holdings, Sierra/Affinity, Screen Gems","GB, US"
Silence,2016-12-23,tt0490215,68730,"In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.",Martin Scorsese,"Andrew Garfield, Adam Driver, Liam Neeson, Tadanobu Asano, Ciarán Hinds","Drama, History","Waypoint Entertainment, Cappa Defina Productions, CatchPlay, Fábrica de Cine, SharpSword Films, Sikelia Productions, EFO Films","MX, TW, US"
Warcraft,2016-05-25,tt0803096,68735,"The peaceful realm of Azeroth stands on the brink of war as its civilization faces a fearsome race of invaders: orc warriors fleeing their dying home to colonize another. As a portal opens to connect the two worlds, one army faces destruction and the other faces extinction. From opposing sides, two heroes are set on a collision course that will decide the fate of their family, their people, and their home.",Duncan Jones,"Travis Fimmel, Paula Patton, Ben Foster, Dominic Cooper, Ben Schnetzer","Action, Adventure, Fantasy","Legendary Pictures, Atlas Entertainment, Blizzard Entertainment, Tencent Pictures, Huayi Brothers Pictures, Taihe Entertainment, China Film Group Corporation, Media Corporation, Taurus Film, Universal Pictures","US, CA, CN"
To Write Love on Her Arms,2015-03-13,tt1850418,75861,"The story follows 19-year-old Renee who has always loved fairy tales: the idea of a princess, a hero and a happily ever after. But Renee’s life is that of a darker tale: she’s a young woman battling addiction, depression and self-injury. In a creative blend of artistic fantasy balanced with harsh reality, the movie follows Renee on her courageous journey towards recovery.",Nathan Frankowski,"Kat Dennings, Chad Michael Murray, Rupert Friend, Corbin Bleu, Mark Saul","Drama, Music","Noble Pictures, Two Streets Entertainment, Valencia Motion Pictures, Birchwood Pictures",US
Mad Max: Fury Road,2015-05-13,tt1392190,76341,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.",George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne, Josh Helman","Action, Adventure, Science Fiction","Warner Bros. Pictures, Village Roadshow Pictures, Kennedy Miller Mitchell, RatPac Entertainment","AU, US"
Avatar: The Way of Water,2022-12-14,tt1630029,76600,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",James Cameron,"Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Kate Winslet","Science Fiction, Adventure, Action","20th Century Studios, Lightstorm Entertainment",US
Jupiter Ascending,2015-02-04,tt1617661,76757,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…","Lilly Wachowski, Lana Wachowski","Channing Tatum, Mila Kunis, Sean Bean, Eddie Redmayne, Douglas Booth","Science Fiction, Fantasy, Action","Warner Bros. Pictures, Village Roadshow Pictures, RatPac Entertainment, Anarchos Productions",US
Black Butterfly,2017-05-26,tt2090465,76812,"Paul is a down-on-his-luck screenwriter who picks up a drifter and offers him a place to stay. However, when the deranged stranger takes Paul hostage and forces him to write, their unhinged relationship brings buried secrets to light.",Brian Goodman,"Antonio Banderas, Jonathan Rhys Meyers, Piper Perabo, Abel Ferrara, Nicholas Aaron","Thriller, Mystery, Drama","Battleplan Productions, Compadre Entertainment, Paradox Studios, AMBI Group","US, IT, ES"
Voyage of Time: Life's Journey,2017-03-10,tt1945228,86822,"A celebration of the universe, displaying the whole of time, from its start to its final collapse. This film examines all that occurred to prepare the world that stands before us now: science and spirit, birth and death, the grand cosmos and the minute life systems of our planet.",Terrence Malick,"Cate Blanchett, Jamal Cavil, Maisha Diatta, Yagazie Emezi, Daryl James Harris II","Documentary, Drama, History","Sycamore Pictures, Sophisticated Films, Wild Bunch, Plan B Entertainment, River Road Entertainment","DE, US, FR"
Knight of Cups,2015-09-10,tt2101383,86835,"Rick is a screenwriter living in Los Angeles. While successful in his career, his life feels empty. Haunted and confused, he finds temporary solace in the decadent Hollywood excess that defines his existence. Women provide a distraction to his daily pain, and every encounter brings him closer to finding his place in the world.",Terrence Malick,"Christian Bale, Cate Blanchett, Natalie Portman, Brian Dennehy, Antonio Banderas","Drama, Romance","Waypoint Entertainment, Dogwood Films",US
Terminator Genisys,2015-06-23,tt1340138,87101,"The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future, and will ultimately change warfare forever.",Alan Taylor,"Emilia Clarke, Jai Courtney, Arnold Schwarzenegger, Jason Clarke, Matt Smith","Science Fiction, Action, Thriller, Adventure","Paramount Pictures, Skydance Media, Annapurna Pictures","CA, US"
The Human Centipede 3 (Final Sequence),2015-05-22,tt1883367,94365,"Taking inspiration from The Human Centipede films, the warden of a notorious and troubled prison looks to create a 500-person human centipede as a solution to his problems.",Tom Six,"Dieter Laser, Bree Olson, Eric Roberts, Laurence R. Harvey, Robert LaSardo",Horror,"Six Entertainment, Six Entertainment Company","NL, US"
The Only Living Boy in New York,2017-07-27,tt0460890,95608,"When a young man learns that his overbearing father is having an affair, he tries to stop it, only to be seduced by the older woman as well.",Marc Webb,"Callum Turner, Jeff Bridges, Kate Beckinsale, Pierce Brosnan, Cynthia Nixon",Drama,"Big Indie Pictures, Bona Fide Productions",US
Avengers: Age of Ultron,2015-04-22,tt2395427,99861,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",Joss Whedon,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson","Action, Adventure, Science Fiction",Marvel Studios,US
Ant-Man,2015-07-14,tt0478970,102899,"Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.",Peyton Reed,"Paul Rudd, Michael Douglas, Evangeline Lilly, Corey Stoll, Bobby Cannavale","Science Fiction, Action, Adventure",Marvel Studios,US
The Good Dinosaur,2015-11-14,tt1979388,105864,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,Peter Sohn,"Frances McDormand, Raymond Ochoa, Jeffrey Wright, Steve Zahn, Sam Elliott","Adventure, Animation, Family","Pixar, Walt Disney Pictures",US
Re-Kill,2015-10-16,tt1612319,106845,"Five years after a zombie outbreak, the men and women of R-Division hunt down and destroy the undead. When they see signs of a second outbreak, they fear humanity may not survive.","Valeri Milev, Michael Hurst","Roger Cross, Bruce Payne, Scott Adkins, Daniella Alonso, Jesse Garcia","Horror, Science Fiction","After Dark Films, Signature Pictures, Midsummer Films",US
Mothers and Daughters,2016-05-06,tt2395339,109453,Interwoven stories of what it is to be a mom seen through the lens of photographer Rigby Gray.,"Nigel Levy, Paul Duddridge","Selma Blair, Christina Ricci, Courteney Cox, Susan Sarandon, Eva Amurri",Drama,"Screen Media Films, Siempre Viva Productions",US
Assassin's Creed,2016-12-21,tt2094766,121856,"Through a technology that unlocks the generic memories of his ancestor in 15th century Spain, Callum Lynch discovers he is a descendant of an ancient line of Assassins and amasses lethal skills to take on the oppressive Templar Order.",Justin Kurzel,"Michael Fassbender, Marion Cotillard, Jeremy Irons, Brendan Gleeson, Charlotte Rampling","Action, Adventure, Science Fiction","New Regency Pictures, The Kennedy/Marshall Company, Ubisoft Film & Television, DMC Film","FR, GB, US"
Eisenstein in Guanajuato,2015-02-11,tt1702429,121869,"In 1931, following the success of the film Battleship Potemkin, Soviet filmmaker Sergei Eisenstein travels to the city of Guanajuato, Mexico, to shoot a new film. Freshly rejected by Hollywood, Eisenstein soon falls under Mexico’s spell. Chaperoned by his guide Palomino Cañedo, the director opens up to his suppressed fears as he embraces a new world of sensual pleasures and possibilities that will shape the future of his art.",Peter Greenaway,"Elmer Bäck, Luis Alberti, José Montini, Cristina Velasco Lozano, Rasmus Slätis","Comedy, Romance","ZDF/Arte, Fu Works, Submarine, Paloma Negra Films, Edith Film, Potemkino, Mollywood, YLE, VPRO","BE, FI, FR, MX, NL"
Alien: Covenant,2017-05-09,tt2316204,126889,"The crew of the colony ship Covenant, bound for a remote planet on the far side of the galaxy, discovers what they think is an uncharted paradise but is actually a dark, dangerous world.",Ridley Scott,"Michael Fassbender, Katherine Waterston, Billy Crudup, Danny McBride, Demián Bichir","Science Fiction, Horror, Thriller","20th Century Fox, Brandywine Productions, Scott Free Productions",US
Finding Dory,2016-06-16,tt2277860,127380,Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?,Andrew Stanton,"Albert Brooks, Ellen DeGeneres, Ed O'Neill, Hayden Rolence, Diane Keaton","Adventure, Animation, Comedy, Family","Pixar, Walt Disney Pictures",US
The Hunger Games: Mockingjay - Part 2,2015-11-18,tt1951266,131634,"With the nation of Panem in a full scale war, Katniss confronts President Snow in the final showdown. Teamed with a group of her closest friends – including Gale, Finnick, and Peeta – Katniss goes off on a mission with the unit from District 13 as they risk their lives to stage an assassination attempt on President Snow who has become increasingly obsessed with destroying her. The mortal traps, enemies, and moral choices that await Katniss will challenge her more than any arena she faced in The Hunger Games.",Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Elizabeth Banks","Action, Adventure, Science Fiction","Lionsgate, Color Force, Studio Babelsberg","DE, US"
Jurassic World,2015-06-06,tt0369610,135397,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio, Ty Simpkins","Action, Adventure, Science Fiction, Thriller","Amblin Entertainment, Universal Pictures",US
Trolls,2016-10-13,tt1679335,136799,"After the monstrous Bergens invade Troll Village, Princess Poppy, the happiest Troll ever born, and overly-cautious, curmudgeonly outcast Branch set off on a journey to rescue her friends. Their mission is full of adventure and mishaps, as this mismatched duo try to tolerate each other long enough to get the job done.",Mike Mitchell,"Anna Kendrick, Justin Timberlake, Zooey Deschanel, Christopher Mintz-Plasse, Christine Baranski","Family, Animation, Fantasy, Adventure, Comedy, Music",DreamWorks Animation,US
Smurfs: The Lost Village,2017-03-23,tt2398241,137116,"In this fully animated, all-new take on the Smurfs, a mysterious map sets Smurfette and her friends Brainy, Clumsy and Hefty on an exciting race through the Forbidden Forest leading to the discovery of the biggest secret in Smurf history.",Kelly Asbury,"Demi Lovato, Rainn Wilson, Joe Manganiello, Jack McBrayer, Danny Pudi","Family, Comedy, Adventure, Animation","Kerner Entertainment Company, Columbia Pictures, Sony Pictures Animation, LStar Capital, Wanda Pictures","CN, US, BE"
Uncanny,2015-01-31,tt2321502,137333,"For ten years, inventor David Kressen has lived in seclusion with his inventions, including Adam, a robot with incredible lifelike human qualities. When reporter Joy Andrews is given access to their unconventional facility, she is alternately repelled and attracted to the scientist and his creation. But as Adam exhibits emergent behavior of anger and jealousy towards her, she finds herself increasingly entangled in a web of deception where no one’s motives are easily decipherable.",Matthew Leutwyler,"Mark Webber, Lucy Griffiths, David Clayton Rogers, Rainn Wilson","Science Fiction, Thriller","Emergent Behavior, Shoreline Entertainment, Accelerated Matter",US
Kung Fu Panda 3,2016-01-23,tt2267968,140300,"While Po and his father are visiting a secret panda village, an evil spirit threatens all of China, forcing Po to form a ragtag army to fight back.","Jennifer Yuh Nelson, Alessandro Carloni","Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie, J.K. Simmons","Action, Adventure, Animation, Comedy, Family","DreamWorks Animation, China Film Group Corporation, Oriental DreamWorks, Zhong Ming You Ying Film","CN, US"
Star Wars: The Force Awakens,2015-12-15,tt2488496,140607,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",J.J. Abrams,"Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley","Adventure, Action, Science Fiction","Lucasfilm Ltd., Bad Robot",US
Justice League,2017-11-15,tt0974015,141052,"Fuelled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth.",Zack Snyder,"Ben Affleck, Henry Cavill, Amy Adams, Gal Gadot, Ezra Miller","Action, Adventure, Science Fiction","RatPac Entertainment, Cruel & Unusual Films, Atlas Entertainment, Warner Bros. Pictures, DC Films",US
Triple 9,2016-02-19,tt1712261,146198,A gang of criminals and corrupt cops plan the murder of a police officer in order to pull off their biggest heist yet across town.,John Hillcoat,"Casey Affleck, Chiwetel Ejiofor, Anthony Mackie, Kate Winslet, Woody Harrelson","Action, Crime, Adventure, Thriller","Surefire Capital, Worldview Entertainment, Sierra Pictures, Anonymous Content, MadRiver Pictures",US
Paranormal Activity: The Ghost Dimension,2015-10-21,tt2473510,146301,"Using a special camera that can see spirits, a family must protect their daughter from an evil entity with a sinister plan.",Gregory Plotkin,"Chris J. Murray, Brit Shaw, Ivy George, Dan Gill, Olivia Taylor Dudley","Horror, Thriller","Blumhouse Productions, Paramount Pictures, Room 101, Solana Films",US
Inside Out,2015-06-17,tt2096673,150540,"When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",Pete Docter,"Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader, Lewis Black","Animation, Family, Adventure, Drama, Comedy","Pixar, Walt Disney Pictures",US
Cinderella,2015-03-06,tt1661199,150689,"When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods.",Kenneth Branagh,"Lily James, Cate Blanchett, Richard Madden, Stellan Skarsgård, Holliday Grainger","Romance, Fantasy, Family, Drama","Walt Disney Pictures, Genre Films, Beagle Pug Films, Allison Shearmur Productions","GB, US"
The Angry Birds Movie,2016-05-11,tt1985949,153518,"An island populated entirely by happy, flightless birds or almost entirely. In this paradise, Red, a bird with a temper problem, speedy Chuck, and the volatile Bomb have always been outsiders. But when the island is visited by mysterious green piggies, it’s up to these unlikely outcasts to figure out what the pigs are up to.","Clay Kaytis, Fergal Reilly","Jason Sudeikis, Josh Gad, Danny McBride, Maya Rudolph, Bill Hader","Animation, Adventure, Comedy, Family","Columbia Pictures, Rovio Entertainment, Rovio Animation","FI, US"
Pet Sematary,2019-04-04,tt0837563,157433,"Dr. Louis Creed and his wife, Rachel, move from Boston to Ludlow, in rural Maine, with their two young children. Hidden in the woods near the new family home, Ellie, their eldest daughter, discovers a mysterious cemetery where the pets of community members are buried.","Dennis Widmyer, Kevin Kölsch","Jason Clarke, Amy Seimetz, John Lithgow, Jeté Laurence, Hugo Lavoie","Horror, Thriller","di Bonaventura Pictures, Paramount Pictures",US
The Vatican Tapes,2015-07-23,tt1524575,157544,"In a highly secured vault deep within the walls of Vatican City, the Catholic Church holds thousands of old films and video footage documenting exorcisms/supposed exorcisms and other unexplained religious phenomena they feel the world is not ready to see. This is the first tape - Case 83-G - stolen from these archives and exposed to the public by an anonymous source.",Mark Neveldine,"Olivia Taylor Dudley, Michael Peña, Peter Andersson, Djimon Hounsou, Kathleen Robertson","Thriller, Horror","Lionsgate, Lakeshore Entertainment, H2F Entertainment, Pantelion Films",US
Louder Than Bombs,2015-10-01,tt2217859,157827,"Three years after his wife, acclaimed photographer Isabelle Reed, dies in a car crash, Gene keeps everyday life going with his shy teenage son, Conrad. A planned exhibition of Isabelle’s photographs prompts Gene's older son, Jonah, to return to the house he grew up in - and for the first time in a very long time, the father and the two brothers are living under the same roof.",Joachim Trier,"Gabriel Byrne, Isabelle Huppert, Jesse Eisenberg, Devin Druid, Amy Ryan",Drama,"Motlys, Memento Films Production, Nimbus Film, Animal Kingdom, Beachside Films, Bona Fide Productions, ARTE France Cinéma, Don't Look Now","NO, US, FR, DK"
Queen of the Desert,2015-09-03,tt1837636,157843,"A chronicle of Gertrude Bell's life, a traveler, writer, archaeologist, explorer, cartographer, and political attaché for the British Empire at the dawn of the twentieth century.",Werner Herzog,"Nicole Kidman, James Franco, Damian Lewis, Jay Abdo, Robert Pattinson","Drama, Adventure, History","Benaroya Pictures, 120dB Films, Palmyra Films, Sierra/Affinity, Elevated Films","MA, US"
Tomorrowland,2015-05-19,tt1964418,158852,"Bound by a shared destiny, a bright, optimistic teen bursting with scientific curiosity and a former boy-genius inventor jaded by disillusionment embark on a danger-filled mission to unearth the secrets of an enigmatic place somewhere in time and space that exists in their collective memory as ""Tomorrowland.""",Brad Bird,"Britt Robertson, George Clooney, Raffey Cassidy, Hugh Laurie, Tim McGraw","Adventure, Family, Mystery, Science Fiction","Walt Disney Pictures, A113",US
Hotel Transylvania 2,2015-09-21,tt2510894,159824,"When the old-old-old-fashioned vampire Vlad arrives at the hotel for an impromptu family get-together, Hotel Transylvania is in for a collision of supernatural old-school and modern day cool.",Genndy Tartakovsky,"Adam Sandler, Andy Samberg, Selena Gomez, Kevin James, Steve Buscemi","Animation, Comedy, Family, Fantasy","Columbia Pictures, Sony Pictures Animation, MRC",US
Fantastic Four,2015-08-05,tt1502712,166424,"Four young outsiders teleport to a dangerous universe, which alters their physical form in shocking ways. Their lives irrevocably upended, the team must learn to harness their daunting new abilities and work together to save Earth from a former friend turned enemy.",Josh Trank,"Miles Teller, Kate Mara, Michael B. Jordan, Jamie Bell, Toby Kebbell","Action, Adventure, Science Fiction","20th Century Fox, Constantin Film, Marvel Entertainment, Marv, Genre Films, Robert Kulzer Productions, TSG Entertainment","GB, DE, US"
Pirates of the Caribbean: Dead Men Tell No Tales,2017-05-23,tt1790809,166426,"Thrust into an all-new adventure, a down-on-his-luck Capt. Jack Sparrow feels the winds of ill-fortune blowing even more strongly when deadly ghost sailors led by his old nemesis, the evil Capt. Salazar, escape from the Devil's Triangle. Jack's only hope of survival lies in seeking out the legendary Trident of Poseidon, but to find it, he must forge an uneasy alliance with a brilliant and beautiful astronomer and a headstrong young man in the British navy.","Espen Sandberg, Joachim Rønning","Johnny Depp, Javier Bardem, Geoffrey Rush, Brenton Thwaites, Kaya Scodelario","Adventure, Action, Fantasy","Walt Disney Pictures, Jerry Bruckheimer Films, Infinitum Nihil",US
How to Train Your Dragon: The Hidden World,2019-01-03,tt2386490,166428,"As Hiccup fulfills his dream of creating a peaceful dragon utopia, Toothless’ discovery of an untamed, elusive mate draws the Night Fury away. When danger mounts at home and Hiccup’s reign as village chief is tested, both dragon and rider must make impossible decisions to save their kind.",Dean DeBlois,"Jay Baruchel, America Ferrera, F. Murray Abraham, Cate Blanchett, Gerard Butler","Animation, Family, Adventure","DreamWorks Animation, Mad Hatter Entertainment",US
Lost River,2015-04-08,tt2366608,167810,"Billy, a single mother of two, is led into a macabre underworld while her teenage son, Bones, discovers a secret road leading to an underwater town. Both Billy and Bones must dive deep into the mystery if their family is to survive.",Ryan Gosling,"Christina Hendricks, Iain De Caestecker, Saoirse Ronan, Eva Mendes, Matt Smith","Drama, Fantasy, Thriller","Bold Films, Marc Platt Productions, Phantasma Films",US
Cell,2016-07-06,tt0775440,168098,"When a strange signal pulsates through all cell phone networks worldwide, it starts a murderous epidemic of epic proportions when users become bloodthirsty creatures, and a group of people in New England are among the survivors to deal with the ensuing chaos after.",Tod Williams,"John Cusack, Samuel L. Jackson, Isabelle Fuhrman, Owen Teague, Clark Sarullo","Horror, Science Fiction, Thriller","Cargo Entertainment, 120dB Films, Benaroya Pictures, The Genre Co., International Film Trust",US
Furious 7,2015-04-01,tt2820852,168259,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,James Wan,"Vin Diesel, Paul Walker, Dwayne Johnson, Jason Statham, Michelle Rodriguez","Action, Thriller, Crime","Original Film, One Race, Universal Pictures",US
Resident Evil: The Final Chapter,2016-12-23,tt2592614,173897,"Picking up immediately after the events in Resident Evil: Retribution, Alice is the only survivor of what was meant to be humanity's final stand against the undead. Now, she must return to where the nightmare began - The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.",Paul W. S. Anderson,"Milla Jovovich, Iain Glen, Ali Larter, Shawn Roberts, Eoin Macken","Action, Horror, Science Fiction","Screen Gems, Constantin Film, Impact Pictures, Davis Films","CA, FR, DE, US"
Jane Got a Gun,2015-12-31,tt2140037,174751,"After her outlaw husband returns home shot with eight bullets and barely alive, Jane reluctantly reaches out to an ex-lover who she hasn't seen in over ten years to help her defend her farm when the time comes that her husband's gang eventually tracks him down to finish the job.",Gavin O'Connor,"Natalie Portman, Joel Edgerton, Ewan McGregor, Noah Emmerich, Boyd Holbrook","Western, Action, Drama","1821 Pictures, Handsomecharlie Films, Scott Pictures, Straight Up Films, Unanimous Pictures","GB, US"
Mission: Impossible - Rogue Nation,2015-07-28,tt2381249,177677,"Ethan and team take on their most impossible mission yet—eradicating 'The Syndicate', an International and highly-skilled rogue organization committed to destroying the IMF.",Christopher McQuarrie,"Tom Cruise, Jeremy Renner, Simon Pegg, Rebecca Ferguson, Ving Rhames","Action, Adventure","Paramount Pictures, Bad Robot, Odin, Skydance Media",US
