title,release_date,imdb_id,tmdb_id,overview,origin_country,directors,cast_top5,genres,production_companies,production_countries
내부자들,2015-11-19,tt3779028,293413,"유력한 대통령 후보와 재벌 회장, 그들을 돕는 정치깡패 안상구. 뒷거래의 판을 짠 이는 대한민국 여론을 움직이는 유명 논설주간 이강희다. 더 큰 성공을 원한 안상구는 이들의 비자금 파일로 거래를 준비하다 발각되고, 이 일로 폐인이 되어 버려진다. 늘 승진을 눈 앞에 두고 주저 앉는 검사 우장훈는 마침내 대선을 앞둔 대대적인 비자금 조사의 저격수가 되는 기회를 잡는다. 그러나 비자금 파일을 가로챈 안상구 때문에 수사는 종결되고, 우장훈은 책임을 떠안고 좌천되고 마는데...",KR,우민호,"이병헌, 조승우, 백윤식, 이경영, 김홍파","범죄, 드라마","Hive Media Corp, Showbox",KR
대호,2015-12-16,tt5066556,363093,"1925년, 조선 최고의 명포수로 이름을 떨치던 천만덕은 더 이상 총을 들지 않은 채, 지리산의 오두막에서 늦둥이 아들 석과 단둘이 살고 있다. 만덕의 어린 아들 석은 한 때 최고의 포수였지만 지금은 사냥에 나서지 않는 아버지에게 불만을 품는다.  한편, 마을은 지리산의 산군(山君)으로 두려움과 존경의 대상이자, 조선의 마지막 호랑이인 대호를 찾아 몰려든 일본군 때문에 술렁이고, 도포수 구경은 ‘대호’ 사냥에 열을 올린다.",KR,박훈정,"최민식, 정만식, 김상호, 성유빈, 정석원","액션, 역사, 모험, 드라마","Sanai Pictures, Next Entertainment World",KR
검사외전,2016-02-03,tt5442308,378348,"거친 수사 방식으로 유명한 다혈질 검사 ‘변재욱’. 취조 중이던 피의자가 변사체로 발견 되면서 살인 혐의로 체포된다. 꼼짝없이 살인 누명을 쓰게 된 '변재욱'은 결국 15년 형을 받고 수감 된다.  감옥에서 복수의 칼을 갈던 재욱. 5년 후, 자신이 누명을 쓰게 된 사건에 대해 알고 있는 허세남발 꽃미남 사기꾼 ‘치원’을 우연히 만나게 되고, 그 순간 감옥 밖 작전을 대행해 줄 선수임을 직감한다. 검사 노하우를 총 동원, 치원을 무혐의로 내보내고 반격을 준비하는 재욱. 하지만 자유를 얻은 치원은 재욱에게서 벗어날 기회만 호시탐탐 노리는데…",KR,이일형,"황정민, 강동원, 이성민, 박성웅, 김응수","범죄, 코미디, 액션","Sanai Pictures, Moonlight Film",KR
순정,2016-02-24,tt5615904,376494,"라디오 DJ ‘형준’은 어느 날, 생방송 중에 도착한 낯익은 이름의 편지 한 통에 당혹스러움을 감추지 못한다. 사연을 보낸 이는 바로 23년 전 가슴 한 켠에 묻어두었던 첫사랑의 이름 ‘정수옥’. 그녀의 손글씨로 정성스레 쓰인 노트를 보며 형준은 잊고 지냈던 23년 전의 기억들이 되살아나기 시작하는데… 1991년, 여름방학을 맞아 ‘수옥’이 기다리고 있는 고향 섬마을에 모인 ‘범실’과 친구들.  다섯이어야 오롯이 하나가 되는 이들은 함께여서 더욱 빛나는 시간들로 여름날의 추억을 쌓아간다.  그리고, ‘수옥’이 원하는 것이라면 뭐든지 해주고 싶은 ‘범실’의 마음… 열일곱 ‘범실’과 ‘수옥’에게 잊을 수 없는 특별한 순간이 찾아온다!  과거와 현재를 넘나드는 단 하나의 첫사랑! 그 해 여름, 아련한 추억 속으로 음악비행이 시작된다!",KR,Lee Eun-hee,"도경수, 김소현, Yeon Jun-seok, 이다윗, 주아름","드라마, 로맨스","Little Big Pictures, Jupiter Film",KR
남과 여,2016-02-25,tt5700648,384127,"핀란드의 하얀 설원 헬싱키. 아이들의 국제학교에서 만난 상민과 기홍은, 먼 북쪽의 캠프장을 향해 우연히 동행하게 된다. 폭설로 도로가 끊기고, 아무도 없는 하얀 숲 속의 오두막에서 둘은 깊이 안게 되고, 서로의 이름도 모른 채 헤어지게 된다. 8개월 후, 서울. 핀란드에서의 시간을 설원이 보여 준 꿈이라 여기고 일상으로 돌아온 상민 앞에 거짓말처럼 기홍이 다시 나타나고 둘은 걷잡을 수 없는 끌림 속으로 빠져든다.",KR,이윤기,"전도연, 공유, 박병은, 이미소, 박민지","드라마, 로맨스","Bom Film Productions, Showbox",KR
널 기다리며,2016-03-10,tt5545862,390433,"15년 전, 내 눈 앞에서 아빠를 죽인 범인이 드디어 세상 밖으로 나왔다.  15년을 기다린 이유는 단 하나!  아빠를 죽인 범인을 쫓는 소녀 ‘희주’ 앞에 유사 패턴의 연쇄살인사건이 발생하고 15년을 기다린 희주의 계획은 전혀 예측하지 못한 새로운 국면을 맞이하게 되는데…  15년의 기다림, 7일간의 추적 그 놈을 잡기 위한 강렬한 추적이 시작된다!",KR,Mo Hong-jin,"심은경, 김성오, 윤제문, 오태경, 정해균","범죄, 스릴러","Soojak Film, 모티브랩, Next Entertainment World, DCG Plus",KR
시간이탈자,2016-04-13,tt5597408,385962,"1983년 1월 1일, 고등학교 교사 지환은 같은 학교 동료이자 연인인 윤정에게 청혼을 하던 중 강도를 만나 칼에 찔려 의식을 잃는다. 2015년 1월 1일, 강력계 형사 건우 역시 뒤쫓던 범인의 총에 맞아 쓰러진다. 30여 년의 간격을 두고 같은 날, 같은 시간, 같은 병원으로 실려간 지환과 건우는 생사를 오가는 상황에서 가까스로 살아나게 되고, 그 날 이후 두 사람은 꿈을 통해 서로의 일상을 보기 시작한다.  두 남자는 처음엔 믿지 않았지만, 서로가 다른 시간대에 실제 존재하는 사람이라는 것을 알게 된다. 건우는 꿈 속에서 본 지환의 약혼녀 윤정과 놀랍도록 닮은 소은을 만나게 되면서 운명처럼 그녀에게 마음이 끌린다. 어느 날, 건우는 1980년대 미제 살인사건을 조사하던 중, 윤정이 30년 전에 살해 당했다는 기록을 발견하고, 사건을 파헤치기 시작한다. 지환 역시 건우를 통해 약혼녀 윤정이 곧 죽을 운명에 처해있다는 사실을 알게 된다. 두 남자는 윤정의 예정된 죽음을 막기 위해 시간을 뛰어넘는 추적을 함께 시작하는데...  서로 다른 시대, 하나의 살인사건  사랑하는 그녀를 구하기 위한 두 남자의 간절한 사투가 시작된다!  “사랑해. 내가 꼭 지켜줄게”",KR,곽재용,"임수정, 조정석, 이진욱, 정진영, 이기우","드라마, 로맨스, 스릴러, 판타지","CJ Entertainment, Sang Sang Film",KR
해어화,2016-04-13,tt5486170,385261,"1943년 비운의 시대  미치도록 부르고 싶던 노래, 그 노래가 내 것이어야 했다. 마지막 남은 경성 제일의 기생 학교 ‘대성권번’  빼어난 미모와 탁월한 창법으로 최고의 예인으로 불리는 소율과 심금을 울리는 목소리를 가진 연희는 선생 산월의 총애와 동기들의 부러움을 받는 둘도 없는 친구.  당대 최고의 작곡가인 윤우는 민중의 마음을 어루만지는 ‘조선의 마음’이라는 노래를 작곡하려 하고 윤우의 노래를 부르고 싶은 소율은 예인이 아닌 가수를 꿈꾸게 된다. 하지만 윤우는 우연히 듣게 된 연희의 목소리에 점차 빠져들고 소율과 연희는 노래 ‘조선의 마음’을 차지하기 위해 서로 엇갈린 선택을 하게 되는데…",KR,박흥식,"한효주, 천우희, 유연석, 박성웅, 장영남","로맨스, 드라마, 역사","Lotte Entertainment, The LAMP",KR
탐정 홍길동: 사라진 마을,2016-05-04,tt5644726,394170,"사건해결률 99%, 악당보다 더 악명 높은 탐정 홍길동에게는 20년간 찾지 못했던 단 한 사람이 있다.  그것은 바로 어머니를 죽인 원수 김병덕.  홍길동은 오랜 노력 끝에 드디어 그를 찾아내지만, 김병덕은 간발의 차로 누군가에게 납치되어 간 이후이고,  그의 집엔 두 손녀, 동이와 말순이만 덩그러니 남아 있다.  느닷없이 껌딱지처럼 들러 붙어 할아버지를 찾아달라는 두 자매를 데리고, 사라진 김병덕의 실마리를 쫓던 중,  홍길동은 대한민국을 집어 삼키려는 거대 조직 광은회의 실체를 마주하게 되는데....  기다렸던 복수의 순간, 성가시게 판이 커져버렸다!",KR,조성희,"이제훈, 김성균, 박근형, 노정의, 고아라","액션, 드라마","Bidangil Pictures, CJ Entertainment",KR
곡성,2016-05-12,tt5215952,293670,"낯선 외지인이 나타난 후 벌어지는 의문의 연쇄 사건들로 마을이 발칵 뒤집힌다. 경찰은 집단 야생 버섯 중독으로 잠정적 결론을 내리지만  모든 사건의 원인이 그 외지인 때문이라는 소문과 의심이 걷잡을 수 없이 퍼져 나간다. 경찰 종구는 현장을 목격했다는 여인 무명을 만나면서  외지인에 대한 소문을 확신하기 시작한다. 딸 효진이 피해자들과 비슷한 증상으로 아파오기 시작하자 다급해진 종구. 외지인을 찾아 난동을 부리고, 무속인 일광을 불러들이는데...",KR,나홍진,"곽도원, 황정민, 천우희, 쿠니무라 준, 김환희","공포, 미스터리","Fox International Productions, Ivanhoe Pictures, Side Mirror, 20th Century Fox Korea","KR, US"
계춘할망,2016-05-19,tt6135036,387886,"12년 만에 잃어버린 손녀를 기적적으로 찾은 해녀 계춘  손녀 혜지와 예전처럼 단둘이 제주도 집에서 함께 살면서 서로에게 적응해간다.  그러나, 아침부터 밤까지 오로지 손녀 생각만 가득한 계춘과 달리  도통 그 속을 알 수 없는 다 커버린 손녀 혜지.  어딘가 수상한 혜지에 대한 마을 사람들의 의심이 커져가는 가운데,  혜지는 서울로 미술경연대회를 갔다가 사라진다.  12년 만에 혜지가 할망을 찾아온 진짜 이유는 무엇일까?  할머니와 떨어져있던 시간 동안 혜지에게 무슨 일이 있었던 걸까?",KR,Chang,"윤여정, 김고은, 김희원, 신은정, 양익준",드라마,"Content Zio, Michigan Venture Capital, Mirovision",KR
아가씨,2016-06-01,tt4016934,290098,"어릴 적 부모를 잃고 후견인 이모부의 보호 아래 살아가는 귀족 아가씨에게 백작이 추천한 새로운 하녀가 찾아온다. 이모부의 서재에서 책을 읽는 것이 일상의 전부인 아가씨는  순박해 보이는 하녀에게 조금씩 의지하기 시작한다. 하지만 하녀의 정체는 유명한 여도둑의 딸인 소매치기 고아 소녀 숙희. 막대한 재산을 상속받게 될 아가씨를 유혹하여 돈을 가로채겠다는 사기꾼 백작의 제안을 받고  아가씨가 백작을 사랑하게 만들기 위해 하녀가 된 것. 드디어 백작이 등장하고, 백작과 숙희는 자신만의 방식으로 아가씨의 마음을 흔들기 시작하는데...",KR,박찬욱,"김민희, 김태리, 하정우, 조진웅, 김해숙","스릴러, 드라마, 로맨스","Moho Film, Yong Film, CJ Entertainment",KR
몽타주,2016-06-10,tt4814290,377213,유괴된 손녀를 8년째 찾아 헤매는 할아버지. 어느 날 날아든 새로운 단서를 따라 위험한 추격을 시작한다.,KR,Ribhu Dasgupta,"Amitabh Bachchan, Nawazuddin Siddiqui, Vidya Balan, Padmavati Rao, मुकेश छाबरा","미스터리, 스릴러, 범죄","Blue Waters Motion Pictures, Kross Pictures, Endemol Shine India, Reliance Entertainment","IN, KR"
비밀은 없다,2016-06-23,tt5768474,401133,"국회입성을 노리는 신예 정치인 종찬과 그의 아내 연홍. 선거를 보름 앞둔 어느 날, 그들의 딸이 실종 된다. 갑작스럽게 사라진 딸의 행방을 찾기 위해 애를 쓰던 연홍은 딸의 실종에도 불구하고 선거에만 집중하는 종찬과 사건을 제대로 조사하지 않는 사람들에게 분노하고 누구도 믿을 수 없는 상황 속, 홀로 딸의 흔적을 쫓기 시작한다. 하지만 딸이 남긴 단서들을 집요하게 추적하던 연홍은 점차 드러나는 충격적 진실과 맞닥뜨리게 되는데...",KR,이경미,"손예진, 김주혁, 최유화, 김민재, 박진우","스릴러, 드라마","Film Train, CJ Entertainment, Gummy Film",KR
부산행,2016-07-20,tt5700672,396535,"별거 중인 펀드 매니저 석우는 소원해진 딸 수안의 생일 소원을 들어주기 위해 아내가 있는 부산행 KTX에 오른다. 이내 열차는 좀비의 침투와 감염으로 아수라장으로 변하고, 전국적 재난 뉴스를 차내에서 접한 승객들의 생존가능성은 유일하게 초기 대응에 성공한 도시 부산까지 살아남은 채 도착할 수 있느냐에 달리게 된다. 열차에 몸을 실은 석우와 딸 수안, 상화와 성경 커플, 고등학생 영국, 진희, 그리고 노숙자와 중년의 비즈니스맨 용석은 감염된 사람들의 공격을 피해 열차 안에서 사투를 벌인다.",KR,연상호,"공유, 김수안, 정유미, 마동석, 최우식","공포, 스릴러, 액션, 모험","Next Entertainment World, RedPeter Films, Contents Panda, Union Investment Partners, KTB Network",KR
인천상륙작전,2016-07-27,tt4939066,407887,"1950년 6월 25일 북한의 기습 남침으로 불과 사흘 만에 서울 함락, 한 달 만에 낙동강 지역을 제외한 한반도 전 지역을 빼앗기게 된 대한민국. 국제연합군 최고사령관 더글라스 맥아더는 모두의 반대 속 인천상륙작전을 계획한다. 불가능에 가까운 작전. 이를 가능케 하는 것은 단 하나, 인천으로 가는 길이 확보되어야 하는 것뿐이다. 맥아더의 지시로 대북 첩보작전 ‘X-RAY’에 투입된 해군 첩보부대 대위 장학수는 북한군으로 위장 잠입해 인천 내 동태를 살피며 정보를 수집하기 시작한다. 하지만 인천 방어사령관 림계진에 의해 정체가 발각되는 위기에 놓인 가운데 장학수와 그의 부대원들은 전세를 바꿀 단 한번의 기회, 단 하루의 작전을 위해 인천상륙 함대를 유도하는 위험천만한 임무에 나서는데...",KR,John H. Lee,"이정재, 리암 니슨, 이범수, 진세연, 정준호","역사, 드라마, 전쟁, 액션","Taewon Entertainment, CJ Entertainment, Union Investment Partners, Finecut, Celltrion Entertainment, KBS Media, Korea Investment Partners, KBS",KR
